일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최소 상대습도(%)
2013-01-01,-4.7,-8.7,0,3.1,52
2013-01-02,-11.7,-15.1,-4.8,,29
2013-01-03,-13.2,-16.4,-9.3,,30
2013-01-04,-10.7,-14.8,-5.8,,27
2013-01-05,-7,-12.1,-1.2,,41
2013-01-06,-6.3,-9.4,-2,,27
2013-01-07,-5.1,-8.8,0.1,,33
2013-01-08,-4.6,-6.8,-0.7,,27
2013-01-09,-9,-10.7,-6.4,,28
2013-01-10,-8.3,-12.3,-3.6,,25
2013-01-11,-3.2,-7.9,1.4,0,40
2013-01-12,0,-2.7,4.2,0.1,55
2013-01-13,-0.5,-3,3.3,,29
2013-01-14,-2.1,-4.3,1.8,,40
2013-01-15,-2.1,-5.5,2,,39
2013-01-16,-2.6,-5.8,0.4,0.3,52
2013-01-17,-5.8,-8.2,-2.5,,52
2013-01-18,-4.4,-9.2,0.2,,21
2013-01-19,0.5,-2.5,4.6,,41
2013-01-20,1.6,-2,4.1,,40
2013-01-21,2.2,1.1,4,16.5,46
2013-01-22,3.8,2,6,0.5,58
2013-01-23,1.8,1,3.8,1.5,60
2013-01-24,-0.9,-6.7,2.4,0.1,28
2013-01-25,-9.1,-10.8,-6.5,,24
2013-01-26,-9.2,-11.9,-5.1,,25
2013-01-27,-7.3,-10.7,-3.9,,34
2013-01-28,-3.5,-8.9,0.2,,35
2013-01-29,2.2,-0.3,3.7,0,56
2013-01-30,5.4,3.5,8.5,,57
2013-01-31,7.4,3.7,11.5,0,44
2013-02-01,7.3,3.7,9.3,46.5,46
2013-02-02,-1.1,-4.5,3.7,,26
2013-02-03,-3.2,-5.8,-1.1,7.5,31
2013-02-04,-0.8,-3.3,2.5,7.4,58
2013-02-05,-0.6,-4,2.7,4.5,55
2013-02-06,-1.5,-3.1,0.2,2.1,62
2013-02-07,-11.1,-13.8,-2.6,0,28
2013-02-08,-11.5,-15.8,-6.1,,25
2013-02-09,-7.2,-12.3,-2.6,,39
2013-02-10,-4,-8.4,-0.5,1.2,30
2013-02-11,-5.8,-10.4,-0.9,,25
2013-02-12,-3.8,-4.8,-1.9,0,28
2013-02-13,-1.3,-6.3,2.9,,33
2013-02-14,1.1,-2.6,5.2,,42
2013-02-15,-1.2,-5.2,1.5,,20
2013-02-16,-2.6,-7,2.6,,15
2013-02-17,2.3,-2.1,5.8,0,26
2013-02-18,0.5,-2.5,3.1,,34
2013-02-19,-2.9,-7.1,0.6,,15
2013-02-20,-4.8,-8.7,0,,17
2013-02-21,-1.7,-5.3,2.5,0,25
2013-02-22,0.5,-3.1,4.3,3.9,20
2013-02-23,-0.9,-4.4,2.4,,23
2013-02-24,1.4,-2.4,5.3,,15
2013-02-25,3.3,-0.7,8.6,,23
2013-02-26,4.8,2.5,7.5,0,37
2013-02-27,3.4,0.8,8.8,,34
2013-02-28,6.7,-1.1,13.9,1,16
2013-03-01,0.8,-2.4,7.7,3,35
2013-03-02,-0.8,-4.4,3.1,,29
2013-03-03,0.4,-3.5,4.8,,26
2013-03-04,3.1,-0.7,8.9,,24
2013-03-05,3.7,-0.7,9.1,,23
2013-03-06,7.9,0.9,14.3,,24
2013-03-07,8,4.3,11.7,0.5,32
2013-03-08,8.5,3.8,14.1,,45
2013-03-09,13.2,6.2,23.8,,16
2013-03-10,1.2,-1.5,7.9,,19
2013-03-11,4.2,-2.6,12.1,,12
2013-03-12,7.5,1.6,11.7,3.5,43
2013-03-13,5.2,1.8,8.4,11.5,37
2013-03-14,4.1,0.9,9.8,,29
2013-03-15,4.6,0,10.5,,27
2013-03-16,6.3,1.6,12.7,,30
2013-03-17,8.2,3.4,15.9,7.5,10
2013-03-18,8.3,5.3,14.2,1,41
2013-03-19,8,5.2,11.4,,38
2013-03-20,2.8,-2.5,8.5,0.1,18
2013-03-21,1.5,-4,7.2,,17
2013-03-22,3.4,0.9,6.9,,53
2013-03-23,5.4,-1.2,12.1,,20
2013-03-24,5.1,1.8,10.2,,26
2013-03-25,2.8,-0.7,7.8,,19
2013-03-26,4.4,-0.9,10.4,,16
2013-03-27,7.5,1.4,14.9,,8
2013-03-28,7.3,4.4,12,,20
2013-03-29,5.4,0.6,10.4,,14
2013-03-30,4.9,2.3,10.2,0.2,15
2013-03-31,6.3,1,13.2,,17
2013-04-01,9.2,3.3,13.4,0.5,24
2013-04-02,7.2,5.8,9.5,8.5,71
2013-04-03,7.9,3.9,14.1,,21
2013-04-04,12.6,5.6,19.8,,20
2013-04-05,14.6,10.1,19.9,,26
2013-04-06,7.5,2.5,13,14,51
2013-04-07,5.1,2,9.6,1,33
2013-04-08,8,2.5,13.8,1,26
2013-04-09,6.2,3.2,10.7,0.5,28
2013-04-10,5,1.3,8.1,1.5,26
2013-04-11,5.5,3.7,9.6,0.5,30
2013-04-12,6.9,2.2,11.9,,24
2013-04-13,11.4,3.4,17.5,,15
2013-04-14,8.3,4.2,12.2,3.5,12
2013-04-15,7.5,2.6,12.5,,19
2013-04-16,13.2,8.6,19.1,,25
2013-04-17,14.8,10.3,20.6,,40
2013-04-18,12.3,9,16.3,,14
2013-04-19,9.8,5.1,15,,13
2013-04-20,6.6,4,10.1,9.5,33
2013-04-21,9,4.2,15.3,,19
2013-04-22,11.4,5.6,17.2,,17
2013-04-23,11.2,9.7,14.8,5.5,21
2013-04-24,12.3,8.3,18,0.1,43
2013-04-25,9.3,7.9,13.8,4.5,57
2013-04-26,11.7,6.9,16.3,0.1,32
2013-04-27,12.8,8.2,18.5,,23
2013-04-28,16,10.3,21.6,,31
2013-04-29,13.5,9,17.7,21,31
2013-04-30,13.4,7.7,19.5,,26
2013-05-01,13.2,8.7,18.6,1,31
2013-05-02,12.4,9,17.1,1,41
2013-05-03,12.6,9,18.2,0,29
2013-05-04,13.9,9.3,19.6,,31
2013-05-05,14.3,9.2,20.6,,22
2013-05-06,14.6,7.9,21.3,,29
2013-05-07,18.7,11.9,26.7,,24
2013-05-08,19.4,12.7,26.2,,16
2013-05-09,18.1,14.7,23,2.5,30
2013-05-10,14,10.4,16.1,22,82
2013-05-11,17.9,11,24.8,,21
2013-05-12,19.1,16.4,22.5,1,53
2013-05-13,21.6,17.7,26.8,,25
2013-05-14,20.2,17,25.3,,28
2013-05-15,19.4,15.6,24.4,,33
2013-05-16,22,15.3,28.3,,19
2013-05-17,20.2,15.7,26.6,,21
2013-05-18,17.7,13.7,22.3,14.5,36
2013-05-19,16.6,13.6,21.5,19.5,56
2013-05-20,14.4,12.1,18.5,,58
2013-05-21,17.7,10.2,24.6,,11
2013-05-22,19.7,13.9,25.9,,32
2013-05-23,22.1,15.4,30.2,,23
2013-05-24,21.3,15.7,27.5,,35
2013-05-25,24.7,18.2,31.8,,22
2013-05-26,23.9,20.8,28.4,,30
2013-05-27,19.7,17.7,22.6,56.5,55
2013-05-28,18.9,17.6,20.9,11.5,84
2013-05-29,16.1,14.9,18.1,2.5,84
2013-05-30,19.2,14.3,25,,29
2013-05-31,21.3,13.9,27.8,,22
2013-06-01,21.7,17.4,27.9,,24
2013-06-02,23.5,16.3,30.8,,20
2013-06-03,21.3,18.4,26.7,,39
2013-06-04,22.8,17.5,28.4,0.2,33
2013-06-05,24.8,19.1,30.4,,33
2013-06-06,25,21.7,30,,34
2013-06-07,25.7,20.7,31.1,,30
2013-06-08,26.4,21,31.2,,37
2013-06-09,27.4,22.3,32.4,,15
2013-06-10,27.5,21.6,32.2,,22
2013-06-11,23.7,20.5,26.7,7,33
2013-06-12,20.5,19.6,22.5,6.5,73
2013-06-13,23,18.8,27.5,,46
2013-06-14,24.6,20.9,29.7,,37
2013-06-15,24.6,21.3,29.1,,43
2013-06-16,22.5,19.8,27.5,,47
