일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최소 상대습도(%)
2011-01-01,-6.8,-10.4,-2.9,,45
2011-01-02,-5.4,-8.5,-1.2,,39
2011-01-03,-4.5,-8.5,-0.3,,48
2011-01-04,-3.9,-7.4,-1.7,,56
2011-01-05,-4,-7.7,-1.8,,51
2011-01-06,-7.6,-9.8,-4.6,,36
2011-01-07,-7,-10.6,-2.9,,29
2011-01-08,-3.6,-8.2,0.1,0.2,54
2011-01-09,-7,-10.3,-0.3,0,38
2011-01-10,-8.2,-11.8,-4.6,,26
2011-01-11,-5.4,-7.8,-2.7,1.9,44
2011-01-12,-8.2,-11.1,-4.9,,29
2011-01-13,-5.9,-11.1,-0.6,,28
2011-01-14,-3.8,-6.9,0.3,1.1,34
2011-01-15,-12.2,-15.7,-6.9,,23
2011-01-16,-14.5,-17.8,-10.7,,32
2011-01-17,-9.7,-14.1,-4.8,,28
2011-01-18,-6.7,-10.8,-2.7,,25
2011-01-19,-6.6,-10,-3.2,0,19
2011-01-20,-8.2,-10.5,-4.7,,31
2011-01-21,-6.8,-9.7,-3.2,,30
2011-01-22,-4.3,-7.1,-0.8,0.4,33
2011-01-23,-4.5,-7.1,-2.1,5.3,51
2011-01-24,-8.8,-10.9,-5.8,,44
2011-01-25,-8.4,-11.9,-4.4,,40
2011-01-26,-8.5,-10.7,-5.2,,33
2011-01-27,-8.9,-11.5,-5.7,,32
2011-01-28,-7.9,-10.5,-4.3,,28
2011-01-29,-9.1,-11.5,-5.5,,27
2011-01-30,-10.1,-13.6,-5.7,,27
2011-01-31,-6.2,-12.7,-1.8,0,29
2011-02-01,-0.2,-4.2,5,,44
2011-02-02,1.3,-2.8,7,,24
2011-02-03,1.5,-1.3,4.9,,62
2011-02-04,1.2,-0.5,3.5,,56
2011-02-05,1.1,-0.8,5.5,,43
2011-02-06,0.3,-2.1,2.7,,58
2011-02-07,0.3,-2.8,4.2,,36
2011-02-08,2.9,-0.5,8.5,,24
2011-02-09,-1.2,-4.1,2.1,,25
2011-02-10,-2.1,-5.6,2.7,,22
2011-02-11,-2.9,-6.2,1.8,,23
2011-02-12,-5.9,-9.2,-1.8,,31
2011-02-13,-4.8,-9,-0.2,,21
2011-02-14,-3.4,-6.7,-0.2,,34
2011-02-15,-1.8,-5.5,2.9,,26
2011-02-16,-0.6,-5,4.3,,21
2011-02-17,0.9,-2,4.7,0.1,33
2011-02-18,1.6,-3,7.3,,28
2011-02-19,1.4,-2.6,7,,20
2011-02-20,5.3,-2.1,12.8,,17
2011-02-21,6.2,1.4,12.3,,20
2011-02-22,6.2,0.7,13,,22
2011-02-23,5.6,0.6,12,,23
2011-02-24,6.1,2.8,10.5,,31
2011-02-25,2,-0.8,6.3,,15
2011-02-26,6.2,-0.4,13.2,,22
2011-02-27,4.2,1.8,7.4,28.5,54
2011-02-28,2.8,1,4.8,0.5,61
2011-03-01,0.5,-2.7,3.7,2.3,49
2011-03-02,-2.1,-4.2,1.6,,20
2011-03-03,-2.1,-5.5,2.5,,23
2011-03-04,0.1,-4.5,6,,25
2011-03-05,2.1,-1.8,6.8,,36
2011-03-06,3.4,1.2,7.4,,47
2011-03-07,1.6,-1.2,5.8,,20
2011-03-08,1.6,-2.3,6.2,,24
2011-03-09,0.2,-2.4,4.4,,21
2011-03-10,1.4,-3.4,4.9,,33
2011-03-11,4.6,-0.3,9.8,,13
2011-03-12,7.8,1.9,13.4,,16
2011-03-13,10.7,8.5,16.2,,34
2011-03-14,6.7,4.4,10.3,,50
2011-03-15,1.5,-2.3,5.7,,18
2011-03-16,-0.4,-3.1,3.2,0,13
2011-03-17,0.8,-3.5,6.1,,21
2011-03-18,5.7,-1.5,12.5,,12
2011-03-19,8.8,5.5,13.7,0,13
2011-03-20,6.9,2.9,11.4,5,38
2011-03-21,8,3.8,13,,17
2011-03-22,1.8,-1,6.1,,12
2011-03-23,2.2,-2.2,7.3,,18
2011-03-24,2.9,0.1,8,5.8,19
2011-03-25,2.2,-0.8,6.5,,18
2011-03-26,3.6,-0.6,8.6,,15
2011-03-27,5.1,0.9,9.7,0,21
2011-03-28,5.2,3.1,8.4,1.5,42
2011-03-29,4.8,1.7,9.1,,40
2011-03-30,7.3,2.3,13.6,,31
2011-03-31,9.2,3.3,16.8,,24
2011-04-01,9.1,4.3,14.9,,17
2011-04-02,8.9,5.3,12.8,,31
2011-04-03,9.6,4.9,15.5,,19
2011-04-04,10.1,4.5,16.7,,20
2011-04-05,10.7,5.1,17.1,,13
2011-04-06,10.6,5.2,16.6,,13
2011-04-07,9.6,8.5,10.7,7,54
2011-04-08,11.4,7.4,17.3,,17
2011-04-09,9.9,6.8,15,,35
2011-04-10,10.8,8.2,14.5,1.5,27
2011-04-11,10.4,6,15.4,,10
2011-04-12,10.2,4.9,15.5,,12
2011-04-13,11.3,5.7,17.4,,25
2011-04-14,12.4,6.6,18.8,,13
2011-04-15,12.2,9.4,19,0.1,56
2011-04-16,12.1,5.9,18.4,,11
2011-04-17,12,8,18.4,,27
2011-04-18,6.7,5.8,10.7,2,39
2011-04-19,10.8,6.6,16.2,,27
2011-04-20,11.2,6.3,16.8,,21
2011-04-21,13.5,8,18,,14
2011-04-22,8.9,7.4,14.5,19,24
