일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최소 상대습도(%)
2006-01-01,1.4,0.6,1.8,0,66
2006-01-02,0.2,-2.4,3.9,0,51
2006-01-03,-2.4,-4.5,1.2,,21
2006-01-04,-6.2,-8.3,-4.4,,33
2006-01-05,-7.1,-10,-2.5,,24
2006-01-06,-7.5,-10.1,-3.9,,23
2006-01-07,-6.2,-9.6,-1.8,,25
2006-01-08,-4.2,-8.5,0.4,,24
2006-01-09,-1.6,-7,3,0.3,25
2006-01-10,-0.3,-2.2,2.4,,45
2006-01-11,-1.2,-5.3,3.5,,18
2006-01-12,1.4,-2.4,4.5,6.5,22
2006-01-13,4.1,1.8,6,26.5,91
2006-01-14,4.4,1.7,9.3,,48
2006-01-15,3.7,0.8,7.5,,56
2006-01-16,1.8,-0.2,3.9,,49
2006-01-17,1.3,-1.2,4.8,,30
2006-01-18,1.3,-1.7,5.5,,34
2006-01-19,2.4,-1.6,6.9,,37
2006-01-20,2.6,0.2,6.5,,41
2006-01-21,0.9,-2.2,5.1,,29
2006-01-22,-3.1,-6,-0.6,,23
2006-01-23,-4.7,-8,-0.4,,25
2006-01-24,-3.1,-7.6,1.7,,23
2006-01-25,-0.7,-4.5,3.2,,30
2006-01-26,0.2,-2.5,3.9,,40
2006-01-27,1.4,-1.1,5.5,,28
2006-01-28,1.3,-3,6,,38
2006-01-29,4.5,-0.4,8.1,0,35
2006-01-30,5,2.9,8.1,0,46
2006-01-31,3.8,1.1,6.3,1,63
2006-02-01,1.7,-2.5,5.4,0,31
2006-02-02,-2.9,-8.6,1,,18
2006-02-03,-11.7,-14.1,-8.6,,23
2006-02-04,-9.3,-13.1,-4.6,,25
2006-02-05,-5.3,-10.3,-1.6,,20
2006-02-06,0.2,-3.9,4.9,,17
2006-02-07,-0.9,-4.8,1.2,8.4,34
2006-02-08,-7.2,-9.3,-3.9,,35
2006-02-09,-4.5,-10.3,-1.2,0.9,40
2006-02-10,1.4,-1.7,4,,42
2006-02-11,1.2,-2.7,5.1,,23
2006-02-12,-1.8,-5.9,2.5,,24
2006-02-13,4.5,-2,10.6,0.1,22
2006-02-14,5.5,4.4,7.5,5.5,54
2006-02-15,4.6,2.9,6.5,,62
2006-02-16,1.7,-5.1,6.9,,21
2006-02-17,-4.5,-8.1,-1.3,,19
2006-02-18,0.2,-5.3,5.3,,28
2006-02-19,3.3,-1,8,,36
2006-02-20,3.8,-0.1,9.1,,34
2006-02-21,4.4,-0.5,8.6,,43
2006-02-22,3,-1.5,7.3,0.5,24
2006-02-23,1.1,-3.4,6.1,,12
2006-02-24,4.6,-1.7,11.5,,12
2006-02-25,7,2.7,10.8,,23
2006-02-26,0.5,-3.5,7.5,0.2,30
2006-02-27,-0.5,-4.6,4.4,,19
2006-02-28,2.8,0.5,4.8,0.1,31
2006-03-01,0,-2.4,2.5,3.8,50
2006-03-02,-0.9,-2.9,2,1,34
2006-03-03,0.5,-3.2,5.1,,23
2006-03-04,3.6,-2.2,10,3,20
2006-03-05,7.9,4.5,12.6,0,43
2006-03-06,5.9,0.6,12.1,,18
2006-03-07,5.7,1.2,11.1,,13
2006-03-08,5.7,0.5,10.3,,23
2006-03-09,10.7,6.8,15.6,0,25
2006-03-10,9.9,7,14.6,0,37
2006-03-11,6.2,0.8,9.8,,29
2006-03-12,-4.3,-6.4,1,,19
2006-03-13,-2,-6.9,3,0,19
2006-03-14,0.8,-3.7,4.9,,26
2006-03-15,5.7,-0.4,11,,38
2006-03-16,4.1,3,6.9,4.5,67
2006-03-17,8.8,3.2,15.1,,43
2006-03-18,9,3.7,13.1,,33
2006-03-19,4.3,0.8,8.8,,14
2006-03-20,5.1,0.6,8.5,,27
2006-03-21,9.7,2.9,16.2,,13
2006-03-22,10.3,6,17.2,0,22
2006-03-23,6.3,3,10.8,,15
2006-03-24,6.2,0.8,12,,16
2006-03-25,8.9,4.4,14.8,0,25
2006-03-26,6.5,1.8,11.8,,8
2006-03-27,6.8,2.9,12.1,,9
2006-03-28,2.9,1,4.9,0.2,30
2006-03-29,3.8,-0.3,7.1,1.5,20
2006-03-30,4.4,0.2,9.3,,16
2006-03-31,8.1,1.1,14.1,,13
2006-04-01,9.7,7.5,11.6,16.5,27
2006-04-02,7.4,5.3,11.1,0.5,58
2006-04-03,11.4,4.3,18.7,,39
2006-04-04,12,10.8,14.5,1.5,53
2006-04-05,11.6,7.3,17.5,,18
2006-04-06,9.7,5.6,13,,34
2006-04-07,10.2,7.9,13.3,,37
2006-04-08,10.2,6.6,14.1,,21
2006-04-09,15.2,8.8,21.7,0.1,24
2006-04-10,14.7,11.6,18.6,11.5,46
2006-04-11,16.4,13.1,22.2,,34
2006-04-12,15,11,21.2,,40
2006-04-13,9.7,7.8,12,,44
2006-04-14,12.7,6.6,18.8,,12
2006-04-15,12,8.8,16.2,,12
2006-04-16,7.4,2.9,12.6,,10
2006-04-17,10.3,4.6,14.3,,20
2006-04-18,14.6,12.1,17.7,0,28
2006-04-19,8.8,3.2,16.6,16,56
2006-04-20,7.3,3.2,9.3,0,44
2006-04-21,10.6,5.5,16.7,,27
2006-04-22,11.8,8,17.2,,23
2006-04-23,9.2,7.1,13.1,3.5,52
2006-04-24,10.4,5.9,15.3,,28
2006-04-25,11.3,6.1,16.5,,20
2006-04-26,12,8.3,16.7,0,12
2006-04-27,12.3,9.1,18.7,0.2,28
2006-04-28,12.8,7.5,18.5,,17
2006-04-29,13.9,10.8,17.7,,33
2006-04-30,15.9,12.6,20.1,2,58
2006-05-01,18,12.6,23.8,,18
2006-05-02,17.2,12.8,23.7,,18
2006-05-03,15.7,10.8,21.2,,30
2006-05-04,17.7,11.3,24.7,0.2,22
2006-05-05,20.7,18.1,23.6,3.5,55
2006-05-06,15.1,13.5,18.8,93,77
2006-05-07,19.7,12.3,26.5,,37
2006-05-08,21,15.6,26.7,,29
2006-05-09,21.3,15.8,27.6,,31
2006-05-10,18.2,16,20.2,0.3,59
2006-05-11,18.9,13.5,24.2,,15
2006-05-12,16.8,15.1,18.8,0,24
2006-05-13,15.2,12.3,19,,32
2006-05-14,16,10.8,21.5,,20
2006-05-15,18.6,11.3,25,,13
2006-05-16,18.8,13.8,24.7,,21
2006-05-17,18.8,13.1,24.6,,24
2006-05-18,20.2,15.3,24.8,,31
2006-05-19,17.9,16,20.2,,47
2006-05-20,18.2,13,24.7,,32
2006-05-21,22.5,15.3,28.3,,32
2006-05-22,17.5,14.6,22.5,30.5,43
2006-05-23,15,12,20.1,,64
2006-05-24,18.5,13.8,23.8,,44
2006-05-25,18.8,16.1,21.3,,31
2006-05-26,21.6,16.7,27,,23
2006-05-27,16.3,13.8,21.2,27.5,52
2006-05-28,17.3,13.5,22.2,1,42
2006-05-29,18.4,14.6,22.7,0.2,52
2006-05-30,20.5,15,25.5,,32
2006-05-31,21.3,15.6,26.7,,27
2006-06-01,22.7,16.7,28.1,,29
2006-06-02,25.9,18.6,32.4,,22
2006-06-03,23.4,19.5,29.8,,23
2006-06-04,20.8,17.3,26.2,,35
2006-06-05,21.3,17.1,26.1,,41
2006-06-06,21.9,17.7,27.3,,33
2006-06-07,21.9,17.8,26.5,,36
2006-06-08,20.1,18.3,24,6.5,53
2006-06-09,21,17.2,26.2,0.5,31
2006-06-10,17.3,15.1,20.6,39.5,59
2006-06-11,16.9,15.6,17.8,2.5,75
2006-06-12,21.3,14.1,28.3,,30
2006-06-13,23.5,18.7,28.8,,35
2006-06-14,19,16.5,22.1,63,53
2006-06-15,18.5,15.8,22.7,2,58
2006-06-16,21.4,15.6,27.3,,21
2006-06-17,22.2,18,26.3,0,36
2006-06-18,21.5,17.6,27.2,,36
2006-06-19,22.9,17.2,28.7,,35
2006-06-20,22.5,19.8,26.2,,37
2006-06-21,19.2,18.7,20.1,14,79
2006-06-22,22.6,17.7,28.8,,46
2006-06-23,23.9,19.7,29.3,,47
2006-06-24,24.4,19.2,28.5,,49
2006-06-25,24.4,20.3,29.2,8,39
2006-06-26,20.4,19.6,22.8,11.5,83
2006-06-27,21.1,19.1,24.2,1,72
2006-06-28,23.7,20.5,27.7,,56
2006-06-29,25,21.7,29.3,13.5,53
2006-06-30,23.2,20.8,26.8,6.5,69
2006-07-01,22.6,21.1,24.7,4.5,73
2006-07-02,23,20.6,26.7,0,48
2006-07-03,24.1,19.6,28.6,,45
2006-07-04,22.4,21.5,24,4,74
2006-07-05,21.5,18.7,24.7,2.5,58
2006-07-06,21.1,19.2,23.5,13,64
2006-07-07,23,20,26.8,10,56
2006-07-08,25.5,21.3,29,,52
2006-07-09,25.7,23.5,28.8,3.5,57
2006-07-10,23.8,21.2,26.1,19,68
2006-07-11,24.7,21.2,28.7,0.5,57
2006-07-12,23.8,22.6,25.1,226.5,89
2006-07-13,25.2,23.7,27.2,18.5,81
2006-07-14,27.2,25.2,29.2,0.1,67
2006-07-15,24.1,21.1,27.2,69,77
2006-07-16,18.7,17.7,21.2,241,95
2006-07-17,19.2,18.7,20.3,42.5,84
2006-07-18,19.1,17.5,20.7,31,88
2006-07-19,21.8,18.5,24.2,0.5,68
2006-07-20,21.7,19.1,24.7,4.5,59
2006-07-21,22.1,18.8,26.7,3.5,57
2006-07-22,23.4,21.2,27.5,9.5,52
2006-07-23,23.4,20.1,28.1,,51
2006-07-24,23.4,21.6,26.6,,57
2006-07-25,24.7,20.7,28.3,0.3,43
2006-07-26,22.2,20.7,24.6,5,69
2006-07-27,20.9,20.1,22,195,89
2006-07-28,21.8,20.6,23.2,88,88
2006-07-29,24.6,22.1,27.2,22,77
2006-07-30,26.1,24.3,29.7,0.1,62
2006-07-31,26.5,24.6,30.1,,61
2006-08-01,27.7,24.7,32,,44
2006-08-02,28,24.2,32,,47
2006-08-03,28.6,24,33.2,,50
2006-08-04,29.5,24.8,34.7,,37
2006-08-05,29,25.6,32.9,0.1,49
2006-08-06,28.3,25.5,32.4,,50
2006-08-07,27.2,23.7,31.7,22,51
2006-08-08,29,24,34.2,,44
2006-08-09,29.2,25.6,34.2,,45
2006-08-10,28.6,24.8,33.2,,36
2006-08-11,26.6,24.5,30.1,0,50
2006-08-12,27.5,22.7,32.7,,41
2006-08-13,28.8,25.1,33.2,,45
2006-08-14,29.3,26.5,33.5,,44
2006-08-15,28.2,26.2,32.4,20.5,56
2006-08-16,28.3,26,31.7,0.5,60
2006-08-17,26.6,24.2,30.8,10.5,51
2006-08-18,26.5,23.3,30.7,,37
2006-08-19,24.8,20.8,29.7,0.1,34
2006-08-20,23.6,21,26.5,0,58
2006-08-21,27.2,23,30.5,,48
2006-08-22,27.6,24.3,31.6,0,54
2006-08-23,27.1,25.2,30.6,0,54
2006-08-24,27,23.7,30.7,0,48
2006-08-25,25.1,23.3,29,14.5,64
2006-08-26,25.2,22.8,31.3,32,54
2006-08-27,24.2,23,25.7,18.5,74
2006-08-28,25.4,22.8,29.6,,49
2006-08-29,23.7,22.2,25.8,2.5,68
2006-08-30,25.2,21.6,29.5,,47
2006-08-31,25.2,22.7,29.5,,43
2006-09-01,24.2,19.5,28.8,,31
2006-09-02,25.6,21,30.3,,37
2006-09-03,25.5,21.5,30.2,,40
2006-09-04,21.4,17.7,25.1,,56
2006-09-05,21.1,16.2,26.3,0.1,39
2006-09-06,19.8,15.8,25.2,3.5,42
2006-09-07,22,15.8,28.1,,25
2006-09-08,22,18.7,25.7,0,44
2006-09-09,17.2,13.6,22.1,4.5,59
2006-09-10,15.8,12.6,20.1,,30
2006-09-11,16.5,11.3,21.3,,40
2006-09-12,19.9,13.6,25.2,,33
2006-09-13,21.8,17,27.2,,25
2006-09-14,21.5,16.2,27,,22
2006-09-15,20.8,17.7,24.5,,43
2006-09-16,21.6,19.2,24.7,,49
2006-09-17,20.2,16.8,22.8,2,37
2006-09-18,18.2,16.3,20,0.5,53
2006-09-19,20.2,14.1,26.1,,51
2006-09-20,22.1,17.8,26.7,,32
2006-09-21,23.5,19.1,28.6,,31
2006-09-22,22.9,18.6,27.7,,41
2006-09-23,21.5,17.1,26.6,,21
2006-09-24,21.2,15.3,26.8,,23
2006-09-25,20.9,16,26.7,,19
2006-09-26,21.6,17.8,27.1,,23
2006-09-27,22,18.7,27.2,0,29
2006-09-28,20.5,18.1,23.1,0.5,58
2006-09-29,20.7,17.3,25.6,0,29
2006-09-30,20.7,16.2,25.5,,31
2006-10-01,20.7,17.7,25.3,,33
2006-10-02,20.7,15.3,26.3,,32
2006-10-03,20.6,15.1,26.3,,30
2006-10-04,21.6,15.6,27.5,,26
2006-10-05,21.4,16.3,27.2,,32
2006-10-06,21.1,16.2,26.7,,23
2006-10-07,20.3,14.5,25.7,,31
2006-10-08,19.7,15.8,23.7,,55
2006-10-09,20.1,17,23.6,,61
2006-10-10,20.9,18.7,25.7,,35
2006-10-11,19.3,15,23.6,0,30
2006-10-12,16.4,10.6,22.5,,11
2006-10-13,17.9,12,24.2,,27
2006-10-14,18.5,14,24.2,,19
2006-10-15,18.9,14.3,24.1,,51
