일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최소 상대습도(%)
2004-01-01,3.7,1.2,5.9,,60
2004-01-02,3.1,1.6,5.5,3,27
2004-01-03,3.9,1.6,7.1,,24
2004-01-04,1.8,-1.7,6.8,,16
2004-01-05,2.9,-2.2,8.1,,27
2004-01-06,4.5,1.8,6.8,,56
2004-01-07,1.7,-1.5,5.1,,39
2004-01-08,0.3,-4,5.6,,25
2004-01-09,1.8,-0.8,5,,34
2004-01-10,-0.3,-3.5,3.2,,21
2004-01-11,-0.6,-5.6,4.5,,30
2004-01-12,-0.7,-4.5,1.8,1.9,50
2004-01-13,-6.7,-8.8,-3.9,0,38
2004-01-14,-5.1,-9.6,-1.3,,30
2004-01-15,-1.3,-5,3.2,,53
2004-01-16,1.4,-3.5,5.5,,45
2004-01-17,1.2,0.6,3.2,7.9,64
2004-01-18,0.3,-1.6,1.5,4.8,74
2004-01-19,-1,-3.2,1.7,0,33
2004-01-20,-4.4,-9.5,0,2.2,23
2004-01-21,-14.3,-16,-9.5,,33
2004-01-22,-13,-16.7,-9.1,,34
2004-01-23,-8.7,-13.1,-4.9,,26
2004-01-24,-7.3,-10.1,-3.7,,35
2004-01-25,-7,-9.3,-3.7,,41
2004-01-26,-5.9,-10.1,-2.2,,45
2004-01-27,-4.1,-8.1,0.3,,33
2004-01-28,-0.4,-5.3,4.9,,50
2004-01-29,2.3,-0.2,5.8,,48
2004-01-30,1.7,-1.1,6,,27
2004-01-31,1.9,-2.5,7.4,,34
2004-02-01,3.1,-0.6,9.1,,24
2004-02-02,-1.7,-5.9,2.5,,23
2004-02-03,-4.2,-7.1,-0.5,,33
2004-02-04,-1.4,-5.8,2.5,0,26
2004-02-05,-4.9,-7.3,-0.8,0,30
2004-02-06,-4,-7.8,-0.6,0.4,33
2004-02-07,-3.6,-7.6,-0.4,0,30
2004-02-08,-0.2,-3.7,5.5,,24
2004-02-09,-2.2,-6.5,3,,21
2004-02-10,-0.3,-5.5,4.5,,24
2004-02-11,2.3,-0.1,5.9,0,55
2004-02-12,1.9,-1.3,6.5,,26
2004-02-13,3.8,-1,7,,25
2004-02-14,3.5,0.8,6.8,0.4,31
2004-02-15,3.5,-0.6,8.6,,35
2004-02-16,4.2,-0.4,9.6,,33
2004-02-17,4.4,2.2,7.9,,16
2004-02-18,5.3,-0.5,11.3,,11
2004-02-19,8.2,1.5,15.6,,13
2004-02-20,11.5,3.2,18.7,,13
2004-02-21,10.7,7.9,14.6,46,30
2004-02-22,3.7,1.2,13.3,6.5,73
2004-02-23,1.5,-1.3,6,,34
2004-02-24,4,0.4,6.3,,64
2004-02-25,6,2.4,10.6,,40
2004-02-26,1.5,-0.8,4.8,0.3,20
2004-02-27,1.9,-1.8,6.1,,25
2004-02-28,5.5,0.3,10.5,1,35
2004-02-29,2.9,0.3,6.5,,17
2004-03-01,1.7,-1.1,6,,20
2004-03-02,-2,-4.5,1.5,,16
2004-03-03,-1.7,-4.3,2.2,,18
2004-03-04,-1.5,-5.5,2.5,14.6,25
2004-03-05,-0.1,-1.7,3.5,0,58
2004-03-06,-3.4,-5,-0.8,,34
2004-03-07,-1.4,-5.6,2.2,,28
2004-03-08,3.1,-2.2,6.9,,45
2004-03-09,7.8,1.2,13.5,,41
2004-03-10,10.4,7.5,14,,49
2004-03-11,5.7,3.2,9.1,,13
2004-03-12,6.9,2.9,11.6,,13
2004-03-13,7.8,4,12.6,,22
2004-03-14,6.7,4,12,,28
2004-03-15,9.4,2.2,15.8,,21
2004-03-16,14.5,8.8,18.7,1,21
2004-03-17,4.9,-1,16.3,9,40
2004-03-18,2.1,-1.8,7,,20
2004-03-19,4.2,-0.5,9.6,,25
2004-03-20,7,2.2,12.3,,18
2004-03-21,10,4,15.5,,17
2004-03-22,10.8,7.5,16,,23
2004-03-23,9,4.5,14,,18
2004-03-24,8.9,6.3,13.1,1,33
2004-03-25,9.1,5.5,14.3,,22
2004-03-26,10.6,4.5,16.2,,19
2004-03-27,10.8,6,16.2,,13
2004-03-28,11.7,4.4,18.2,,11
2004-03-29,14.1,11.1,18,0,28
2004-03-30,9.7,5.9,13.6,2,11
2004-03-31,7.9,3.9,12.3,,13
2004-04-01,9.1,4.1,16.7,10.5,16
2004-04-02,5.6,4.5,7.5,2,58
2004-04-03,6.4,2.7,9.6,0,39
2004-04-04,7.6,2.7,13,,17
2004-04-05,9.1,4.5,14.6,,23
2004-04-06,7.9,5.5,10.8,0,28
2004-04-07,10.3,7.4,15.1,0,14
2004-04-08,10.5,4.8,15.8,,17
2004-04-09,13,7.4,19.7,,29
2004-04-10,15.1,8.5,21.3,,15
2004-04-11,16.1,12.1,22.2,,26
2004-04-12,16.6,11.5,21.7,,39
2004-04-13,17.1,13,22.7,,30
2004-04-14,16.8,12,23.3,,12
2004-04-15,15.5,10.3,21.7,,16
2004-04-16,15.6,11.6,20.2,,38
2004-04-17,17.5,11.3,23,,21
2004-04-18,19.7,11.8,27.3,2.5,14
2004-04-19,14.2,12.1,16.1,15.5,88
2004-04-20,15.6,10.6,21.3,,25
2004-04-21,18.9,10.1,25.2,,41
2004-04-22,16,13.1,19.1,0.1,31
2004-04-23,12.8,9.3,16.8,,20
2004-04-24,11.8,7.9,17.2,,16
2004-04-25,13,8.3,17.6,,12
2004-04-26,10.3,7.6,14.3,30.5,17
2004-04-27,8.2,5.9,11.8,13,51
2004-04-28,11.9,5.1,18.1,,24
2004-04-29,14.8,7.5,21.7,,13
2004-04-30,17.3,13.1,22.6,,44
2004-05-01,19.6,13.1,25.7,,33
2004-05-02,17.4,15.5,20.2,1,39
2004-05-03,14.8,11.1,17.1,16.5,91
2004-05-04,14.2,9.3,20.3,0,25
2004-05-05,15.5,8.8,21.8,,29
2004-05-06,16.9,13.8,21.8,,25
2004-05-07,17.7,9.6,24.6,,12
2004-05-08,18.1,13.6,21.5,0,36
2004-05-09,14.8,13.6,17.8,30,63
