일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최소 상대습도(%)
2009-01-01,-5.8,-9.5,-2.5,,33
2009-01-02,-2.8,-6.9,1.2,,31
2009-01-03,-1,-5.6,4,,20
2009-01-04,0.4,-2.8,4.5,,22
2009-01-05,-1.6,-3.4,1.2,,42
2009-01-06,-2,-5.4,1.4,,29
2009-01-07,-0.5,-4.2,4.2,,24
2009-01-08,-0.9,-4,2.5,,22
2009-01-09,-3.5,-6.8,-0.5,,25
2009-01-10,-7.5,-9.9,-4.3,,28
2009-01-11,-8,-9.6,-4.2,,23
2009-01-12,-7.8,-11,-3.2,,38
2009-01-13,-5.5,-9,-1.5,,29
2009-01-14,-6.6,-9.4,-3.2,,22
2009-01-15,-6.3,-11.2,-2,,17
2009-01-16,-2.8,-4.8,0.4,3.3,48
2009-01-17,-1.4,-5.9,3.1,,58
2009-01-18,2.6,0.1,6.1,,59
2009-01-19,0.6,-2.7,4.7,,20
2009-01-20,2.2,-2.4,7.2,,14
2009-01-21,3.9,1,5.9,0,35
2009-01-22,3.6,-2,9.3,0,42
2009-01-23,-9,-11,-2,,27
2009-01-24,-8.1,-11.4,-5.1,2,38
2009-01-25,-4.6,-9.3,1,0.4,34
2009-01-26,-3.3,-5.3,-0.2,,35
2009-01-27,-1.9,-6.8,3.9,,34
2009-01-28,1.5,-3,7.8,,20
2009-01-29,3.3,-1.2,8.3,,17
2009-01-30,5.8,0.7,12.2,,32
2009-01-31,6.1,3.4,11.7,,32
2009-02-01,5.3,1.6,10.5,,33
2009-02-02,5.2,2.1,8,,58
2009-02-03,5.7,2.9,11.1,,30
2009-02-04,4.4,1.5,8.9,,39
2009-02-05,4.4,3.2,6,0.2,55
2009-02-06,3.2,0.6,6.8,,52
2009-02-07,2.8,0.4,5,,74
2009-02-08,2.7,-2.2,8.2,,26
2009-02-09,5,2.6,8.1,,23
2009-02-10,4.5,2,6.5,0,53
2009-02-11,5.7,3.2,9.2,0,48
2009-02-12,6.8,1.8,10.6,0.2,32
2009-02-13,10.4,4.3,16.1,34.5,45
2009-02-14,3.6,2.1,5.3,,57
2009-02-15,-1.6,-6.4,2.4,0.4,27
2009-02-16,-6,-8.6,-2.3,,17
2009-02-17,-4.6,-8.6,-0.5,,22
2009-02-18,-2.2,-6,1.4,,30
2009-02-19,0.6,-1.8,3.9,0.4,29
2009-02-20,-2.5,-6.8,-0.1,1,28
2009-02-21,-2.2,-7.8,2.7,,37
2009-02-22,3,0.1,7,,45
