일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최소 상대습도(%)
2015-01-01,-7.7,-9.8,-4.3,,29
2015-01-02,-6,-9,-1.9,,28
2015-01-03,-2.7,-9.2,3.1,,35
2015-01-04,2.5,0.2,8.5,0,54
2015-01-05,3.7,-1.1,7.9,0.4,51
2015-01-06,-3.2,-7.6,4,3,27
2015-01-07,-5.5,-8.9,-0.6,,23
2015-01-08,-5.1,-9.5,-0.2,,25
2015-01-09,-2.1,-6.8,3.5,,37
2015-01-10,-0.3,-5.6,4.8,,32
2015-01-11,-0.4,-4.3,2.5,,37
2015-01-12,-2.7,-7.3,3.7,,23
2015-01-13,0.2,-5.1,5.8,,22
2015-01-14,2.5,-0.3,6.1,,29
2015-01-15,2.8,-1.1,9,,33
2015-01-16,0.8,-2.5,3.4,0.3,55
2015-01-17,-4.1,-7.7,0,,28
2015-01-18,-1.3,-6.5,2.1,4,41
2015-01-19,-0.1,-4,3.1,0.1,51
2015-01-20,-0.9,-6.4,4.4,,33
2015-01-21,2.6,-1.2,6.5,,42
2015-01-22,3.1,0.8,7.1,,47
2015-01-23,1.2,-1.6,4.9,,46
2015-01-24,3.7,0.8,8.4,,46
2015-01-25,3,1.1,5,3,53
2015-01-26,3.6,0.2,6.5,0.5,64
2015-01-27,-3.6,-7.4,0.5,,35
2015-01-28,-4.1,-9.1,2.7,,32
2015-01-29,-1.1,-4.6,3,,46
2015-01-30,-3.3,-7,0.8,,31
2015-01-31,-4.5,-8.5,0.8,,31
2015-02-01,-3,-8.2,3.6,,23
2015-02-02,-0.6,-5.3,6.4,,24
2015-02-03,0.6,-3.5,7.2,,27
2015-02-04,0.4,-3.1,5.8,,25
2015-02-05,-0.1,-3.8,4.8,,38
2015-02-06,0.4,-4.3,6.5,,33
2015-02-07,1.2,-2.7,5.7,,42
2015-02-08,-9.8,-11.9,-2.8,,23
2015-02-09,-5.7,-13,-0.1,0.2,25
2015-02-10,1.7,-2,5.8,,51
2015-02-11,2.7,-0.8,8,,21
2015-02-12,-2.2,-4.7,1.6,,17
2015-02-13,-1.6,-6.4,4,,24
2015-02-14,2,-3.1,6.6,,58
2015-02-15,7.9,3.2,13,,38
2015-02-16,5,4.1,7.9,10.5,54
2015-02-17,1.9,0.5,4.1,0.5,59
2015-02-18,0.8,-1.5,3.3,0,59
2015-02-19,2.2,-2.7,8.6,,35
2015-02-20,5.2,-1.3,11.4,,31
2015-02-21,5.7,4.8,6.7,8,47
2015-02-22,3.5,-0.7,7,2.5,52
2015-02-23,0.9,-2.4,5.9,,34
2015-02-24,2.1,-1.1,7.5,,35
2015-02-25,5.4,0.2,12.5,0.5,22
2015-02-26,1.2,-3.5,4.7,0.5,30
2015-02-27,-1.3,-5.6,4.8,,22
2015-02-28,2.7,-2,6.4,,29
2015-03-01,2.4,-0.2,5.9,0,41
2015-03-02,3.9,-1.9,9.7,,23
2015-03-03,2.8,-1.3,6.7,5.5,24
2015-03-04,-2.1,-4.6,1.4,,29
2015-03-05,-0.3,-5.4,5.5,,20
2015-03-06,2.9,-3.2,10.4,,15
2015-03-07,4.2,-2.3,11,,21
2015-03-08,7.7,0.4,15.1,,20
2015-03-09,2.2,-5.4,8.2,,21
2015-03-10,-3.4,-6.9,1,,19
2015-03-11,0.4,-5.1,7.5,,24
2015-03-12,2.1,-3.5,6.7,,23
2015-03-13,5.6,1.8,11,0.1,15
2015-03-14,4.3,-1.2,11.6,,17
2015-03-15,5.5,0,12.5,,15
2015-03-16,9.8,1.3,18.6,,19
2015-03-17,10.7,6.9,16.1,0,30
2015-03-18,10.7,8.4,14.4,1.5,42
2015-03-19,12.4,6.5,21,,26
2015-03-20,13.4,7.6,21.9,,10
2015-03-21,11.7,6.9,17.8,,19
2015-03-22,8.3,2.2,14.9,,9
2015-03-23,4.6,0,10.1,,13
2015-03-24,5.4,-0.9,12.4,,11
2015-03-25,6.5,0.1,14.2,,17
2015-03-26,7.9,1.6,14.8,,24
2015-03-27,9.1,3.2,16.2,,21
2015-03-28,9.7,2.5,17,,12
2015-03-29,10.5,7,16.5,,30
2015-03-30,13.2,5.9,20.8,,20
2015-03-31,12.9,10,14.9,2.5,63
2015-04-01,12.9,10,17.6,2.5,40
2015-04-02,14.8,8.5,21.8,28,42
2015-04-03,10.6,6.9,15.1,3.5,60
2015-04-04,13.5,8.9,18.5,0,31
2015-04-05,10.5,10.1,12.2,0.5,55
2015-04-06,10.3,6.9,15.4,,32
2015-04-07,8.4,5.5,12.2,0,47
2015-04-08,8.3,3.5,13.7,,32
2015-04-09,9.6,3.8,16.3,,27
2015-04-10,11.6,4.6,19.2,,19
2015-04-11,13.5,6.7,20.7,,17
2015-04-12,14.9,9.1,20.4,,17
2015-04-13,12,7.4,17.6,6.5,32
2015-04-14,6.9,5.8,8,10.5,83
2015-04-15,11.1,5.6,17,1,45
2015-04-16,9.9,6.9,14.8,7,55
2015-04-17,10.5,4.8,16.1,,21
2015-04-18,15.2,5.2,23.7,0,11
2015-04-19,14.5,11.2,17.3,12,24
2015-04-20,12.2,10.3,16.8,5.5,46
2015-04-21,14,7.7,20.9,,14
2015-04-22,14.2,9.3,20.7,0,25
2015-04-23,14.5,8,20.1,,16
2015-04-24,15.7,10.4,22.8,,15
2015-04-25,15.9,9.2,23,,13
2015-04-26,17.3,9.9,24.4,,17
2015-04-27,18.5,12.7,24.9,,19
2015-04-28,20.3,12.3,26.9,0,16
2015-04-29,17,15.8,18.4,3.5,63
2015-04-30,21.2,15.1,28.3,,33
2015-05-01,21,15.9,27.2,,41
2015-05-02,20.7,15.8,26,0.5,39
2015-05-03,18.3,17.1,19.6,3.5,82
2015-05-04,16.1,12.5,20.1,,13
2015-05-05,14.2,8.3,19.9,,16
2015-05-06,15.4,9.8,22,,16
2015-05-07,16.5,10.6,24,,15
2015-05-08,16.7,11.7,22.7,,43
2015-05-09,17.6,12.6,24,,33
2015-05-10,19.1,13.5,25.9,,16
2015-05-11,18.4,14.4,24.1,14,33
2015-05-12,13.3,10.3,17.5,9.5,49
2015-05-13,17.4,11.8,21.4,0,44
2015-05-14,20.4,15.3,26.6,,44
2015-05-15,19.1,16.3,23.7,,46
2015-05-16,18,11.6,25.2,,16
2015-05-17,18.6,11.7,25.2,,12
2015-05-18,17.7,13.7,22.2,,30
2015-05-19,14.8,13,16.2,1,82
2015-05-20,16.3,10.6,21.9,,32
2015-05-21,18.7,12.6,26,,23
2015-05-22,20,13.7,27.2,,23
2015-05-23,20.6,13.6,28.3,,16
2015-05-24,21,14,28.5,,16
2015-05-25,20.8,14.4,28.7,,26
2015-05-26,21.5,14.1,30.3,,17
2015-05-27,23.2,14.4,31.5,,13
2015-05-28,24.3,16.7,32.2,,15
2015-05-29,23.8,18.5,29.8,,22
2015-05-30,19.8,17,23.2,0.4,50
2015-05-31,22.1,15.3,30.4,,18
2015-06-01,21.7,15.8,28.5,,22
2015-06-02,23.1,18.1,29.8,,25
2015-06-03,23.3,17.1,29.4,,13
2015-06-04,24.2,17.1,31.5,,15
2015-06-05,19.1,17.5,22,1,27
2015-06-06,22.4,16.4,28.9,,29
2015-06-07,23.4,18.7,31.5,,24
2015-06-08,22.4,18.2,27.8,,33
2015-06-09,22.2,18.8,28.1,,37
2015-06-10,25.3,17.6,34.9,,19
2015-06-11,24.6,20.7,30.2,7.5,25
2015-06-12,23.6,19.4,29.9,0.5,32
2015-06-13,24.7,20.1,30.9,0.5,42
2015-06-14,22.8,17.8,27.7,15.5,44
2015-06-15,24.2,19.6,30.6,,37
2015-06-16,25,20,30.9,,43
2015-06-17,23.4,20.2,30.8,9.5,38
2015-06-18,24.8,19.6,31.3,3,32
2015-06-19,24.5,20,29.9,,39
2015-06-20,19.6,17,22.6,44.5,73
2015-06-21,22.4,15.6,29.6,,35
2015-06-22,24,19.4,29.1,,43
2015-06-23,24.7,19.7,31,,38
2015-06-24,25.7,21.1,30.6,,39
2015-06-25,24.8,21,29.1,2,45
2015-06-26,21,18,25.3,12.5,51
2015-06-27,25.2,19.2,31.1,,34
2015-06-28,25.4,21,31.1,,41
2015-06-29,25.7,21.2,30.6,0,42
2015-06-30,24.4,21.9,29.2,2.5,45
2015-07-01,23.7,21,27.9,0.5,38
2015-07-02,23.7,20.4,29.3,,28
2015-07-03,23.3,19.2,28.3,,32
2015-07-04,24.1,18.2,29.9,,29
2015-07-05,24.2,20.1,29.6,,38
2015-07-06,25.3,20.2,32.5,,30
2015-07-07,25.6,21.4,29.7,,34
2015-07-08,23.4,20.7,26.3,0.5,47
