일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최소 상대습도(%)
2000-01-01,5.5,1.8,9.9,,46
2000-01-02,4.2,-0.9,6.9,6,57
2000-01-03,-2.2,-4.6,0.1,,35
2000-01-04,0.3,-4.3,4.3,,30
2000-01-05,2.8,0.1,4.6,18.4,44
2000-01-06,1.7,-4.2,5.7,9.8,45
2000-01-07,-8.2,-12.1,-4.2,0,38
2000-01-08,-3.8,-7.2,-0.1,0.5,52
2000-01-09,-1.9,-6,1,0,50
2000-01-10,-0.8,-4.8,2.3,0.1,41
2000-01-11,-0.2,-7.1,4.9,,39
2000-01-12,3.7,2.6,5.1,3.9,57
2000-01-13,0.7,-2.1,4,1.7,72
2000-01-14,-1.4,-2.6,1.1,,63
2000-01-15,-1.1,-4.9,3.3,,45
2000-01-16,0.2,-2.2,4.5,,42
2000-01-17,-0.9,-4.4,3.8,,52
2000-01-18,-1.8,-5.1,2.3,,35
2000-01-19,-4.7,-7.5,-1.2,0.8,55
2000-01-20,-8.5,-11.4,-5.4,0,39
2000-01-21,-7,-11.6,-2.6,,31
2000-01-22,-2.5,-6.7,1.6,1.2,30
2000-01-23,2.4,-1.1,7.4,0.4,46
2000-01-24,-2.9,-6.5,0.2,,44
2000-01-25,-7.5,-10.6,-2.9,,28
2000-01-26,-8.3,-11.2,-4.5,,35
2000-01-27,-5.9,-11.2,-0.8,,30
2000-01-28,-3.4,-8.7,2.5,,35
2000-01-29,-0.3,-4.1,2.7,0,52
2000-01-30,-4.3,-8.1,1,0,43
2000-01-31,-7.8,-10.7,-4.7,,33
2000-02-01,-6.6,-11.6,-2,,28
2000-02-02,-3.8,-8.8,0.8,,43
2000-02-03,-1.8,-4.3,2,0,46
2000-02-04,-2,-7.1,3.7,,34
2000-02-05,-0.5,-5.9,4.1,0.5,40
2000-02-06,-0.1,-1.3,2.3,0.7,59
2000-02-07,-1.6,-5.3,1.7,0,49
2000-02-08,-6.9,-9.4,-4.4,,39
2000-02-09,-5.2,-9.5,-0.8,,27
2000-02-10,-2.2,-8.8,3.1,,29
2000-02-11,1.6,-1,5.3,0,39
2000-02-12,2.1,-1.5,6.1,,53
2000-02-13,2.5,-2.2,6.5,,42
2000-02-14,-0.3,-4.3,3.5,0.9,31
2000-02-15,-5.4,-7.8,-2,,30
2000-02-16,-4.6,-8.1,-0.2,,30
2000-02-17,-3.9,-8.4,0.4,,28
2000-02-18,-2.1,-7.5,3.1,,28
2000-02-19,1.7,-3.7,7.5,,29
2000-02-20,-0.7,-4.3,4.2,,32
2000-02-21,-1.7,-5.6,3.1,,29
2000-02-22,-0.6,-5.6,4.6,,30
2000-02-23,0.6,-2.9,4.4,0,40
2000-02-24,-3.2,-6.5,1,,30
2000-02-25,-2,-6.9,2,,33
2000-02-26,0.5,-2.4,3.7,0,36
2000-02-27,1.8,-3.6,6.2,0,41
2000-02-28,-2.8,-6.1,1.1,,28
2000-02-29,-1.2,-6.7,4.4,,32
2000-03-01,2.3,-3.2,7.7,,46
2000-03-02,5.3,1.7,11.2,,36
2000-03-03,8.8,1.2,17.2,,24
2000-03-04,8.1,4.7,12.9,,38
2000-03-05,5.5,1.4,10.5,,36
2000-03-06,2.7,-1.6,6.8,,39
2000-03-07,-1.7,-4.5,2.2,,38
2000-03-08,-0.8,-4.8,3.9,0,40
2000-03-09,1.1,-4.6,5.7,,31
2000-03-10,3.6,-3.5,9.2,,39
2000-03-11,5.2,3.6,7,0,60
2000-03-12,3.9,0.7,10.4,,42
2000-03-13,4.7,-0.5,10.4,,27
2000-03-14,6.2,1.5,11.7,,26
2000-03-15,7.8,1,13.8,0,27
2000-03-16,5.6,3.6,9.3,0.1,31
2000-03-17,7.5,1.6,13.4,,26
2000-03-18,10.6,7.4,14.9,,30
2000-03-19,6.4,3.2,10,0.4,48
2000-03-20,7.1,1.4,13.2,,33
2000-03-21,8.1,4.5,12.5,,31
2000-03-22,10.3,3.9,16.9,,31
2000-03-23,7.3,4.8,10.1,1.2,43
2000-03-24,4.8,2.1,8.3,,30
2000-03-25,6,0.7,11.3,,31
2000-03-26,8.4,2.7,14.5,,26
2000-03-27,13.1,5.1,18.9,1.2,32
2000-03-28,11,6,15.8,0.1,40
2000-03-29,7.7,3.8,11.9,0.1,39
2000-03-30,9,4.6,14.2,,30
2000-03-31,10.7,5.7,16.5,,23
2000-04-01,10.3,4.2,16.1,,31
2000-04-02,12.1,7.3,16.9,,31
2000-04-03,13.4,7.6,19,,32
2000-04-04,14,9.1,20.4,,31
2000-04-05,9.6,6.1,13.3,0,32
2000-04-06,8.6,3.4,14,,32
2000-04-07,8.9,5.8,12.6,,33
2000-04-08,9.6,4.1,17,,29
2000-04-09,11.8,5.9,19.2,0.8,32
2000-04-10,6,2.9,9.7,4.2,27
2000-04-11,8.6,1.8,14.9,,36
2000-04-12,11.9,7,17,,45
2000-04-13,13.3,9.1,18.7,,36
2000-04-14,13.1,7.9,17.8,,34
2000-04-15,12,8.8,18.1,1.4,34
2000-04-16,11.4,5.3,16.4,,26
2000-04-17,12.9,7.1,19.9,,35
2000-04-18,14.8,11.2,17.7,0,36
2000-04-19,14.6,10,20,4,42
2000-04-20,15.5,9.2,23.5,0,36
2000-04-21,12.1,10,14.9,9,72
2000-04-22,9.6,7.5,11.9,4.1,47
2000-04-23,11,7.2,15.4,,33
2000-04-24,12.6,7.2,17.8,,34
2000-04-25,15.4,9.8,20.9,0.5,33
2000-04-26,11.3,9.3,14.4,3.1,57
2000-04-27,9.5,8.2,10.4,3.6,80
2000-04-28,12.4,5.8,19.2,,38
2000-04-29,15.5,8.2,22.3,,31
2000-04-30,14.5,11.2,18.6,,39
2000-05-01,14.2,10.8,19.2,0,54
2000-05-02,13.8,7.9,20.3,,37
2000-05-03,15.6,9.5,22.3,,33
2000-05-04,18,11.2,24.1,,31
2000-05-05,16.9,12.9,22.2,1.8,34
2000-05-06,15.5,12.3,19.6,1.8,38
2000-05-07,14.7,9.5,19.8,,38
2000-05-08,17,9.9,23.7,,33
2000-05-09,20.1,12.6,26.4,,30
2000-05-10,14.3,10.9,18.9,20,31
2000-05-11,11.7,10.1,14.2,7.6,67
2000-05-12,14.2,9.7,18.6,,55
2000-05-13,18.1,10.2,24.5,,32
2000-05-14,18.5,12.7,24.4,,39
2000-05-15,16.9,13.9,22,0,47
2000-05-16,16.7,13.4,20.1,0.6,54
2000-05-17,17.5,14.2,22.6,,51
2000-05-18,16.9,11.8,23.8,,45
2000-05-19,15.7,12.7,20.1,27,55
2000-05-20,15.2,11.4,20.7,,52
2000-05-21,16.7,11.2,23,0,43
2000-05-22,20.2,16.4,25.5,,42
2000-05-23,19.3,15.1,25.1,,60
2000-05-24,21.9,17.2,27.4,,47
2000-05-25,23.9,17.9,30.5,,30
2000-05-26,22.6,18.3,27.7,3.1,39
2000-05-27,18,16.7,19.1,13.3,88
2000-05-28,18.8,14.2,23.7,,41
2000-05-29,20.7,13.2,27,,26
2000-05-30,18.8,15.6,22.5,,43
2000-05-31,19.9,15.8,25.7,0,42
2000-06-01,20.4,15.1,26.3,0.3,47
2000-06-02,21.8,16.1,28.3,,43
2000-06-03,24.9,18.5,31.6,0,35
2000-06-04,25.9,19.1,32.5,,21
2000-06-05,24.6,19.1,31.1,,24
2000-06-06,22.3,17.4,28.3,,32
2000-06-07,22.4,17.5,27,,36
2000-06-08,20.6,18,23.2,0.4,42
2000-06-09,20.1,14.6,27.1,,37
2000-06-10,20.3,17,25.5,3.2,50
2000-06-11,21.7,15.9,27.7,,28
2000-06-12,23,16.7,29.5,0,21
2000-06-13,22.9,16.4,29.7,0,33
2000-06-14,24.4,19.3,29.7,0,39
2000-06-15,24.9,19.2,32,,36
2000-06-16,25.3,20.2,30,,45
2000-06-17,25.6,22,30.5,,44
2000-06-18,26.3,21.1,33.9,,35
2000-06-19,25.9,20,33.3,,36
2000-06-20,26.1,20.4,32.4,,38
2000-06-21,26,21.5,32.5,,39
2000-06-22,23.3,20.2,28.4,9.8,50
2000-06-23,23,20.6,26.8,0.3,55
2000-06-24,24.5,20.1,28.3,,55
2000-06-25,25.1,21.7,28.1,,56
2000-06-26,24.1,22.6,26.6,7.5,73
2000-06-27,24.3,20.4,29.3,21.4,50
2000-06-28,25.9,19.9,33.4,,26
2000-06-29,23.3,20.9,25.7,21.5,69
2000-06-30,23,20.5,26.8,3.7,61
2000-07-01,25.6,19.9,31,,42
2000-07-02,27.2,24.1,33,,45
2000-07-03,28.1,23.2,33.2,,47
2000-07-04,28.2,23.2,33.8,0.1,42
2000-07-05,28.4,22.8,33.9,,48
2000-07-06,29,23.8,34.2,,48
2000-07-07,27.8,24.2,33.4,,44
2000-07-08,27,22.1,33,,34
2000-07-09,26.8,22.7,30.5,,54
2000-07-10,28.7,22.8,34,0,29
2000-07-11,23.5,20.1,27.8,23,67
2000-07-12,25.4,20.1,28.7,4,67
2000-07-13,25.9,23.1,31,,55
2000-07-14,26.6,23,30.6,,52
2000-07-15,26.6,24,30.7,,57
2000-07-16,25.7,23.5,28.6,,66
2000-07-17,27,25.1,30.5,0,59
2000-07-18,27.7,25.1,32,2,57
2000-07-19,26.8,24.7,28.9,15.8,69
2000-07-20,27.9,25.2,31.8,1.7,60
2000-07-21,27.5,25.6,30.6,,64
2000-07-22,24.8,23.8,26.2,60.6,84
2000-07-23,25.5,22.7,29.5,,54
2000-07-24,26.5,22.6,31,,45
2000-07-25,25.8,22.3,29.7,,56
2000-07-26,26.9,21.7,31.9,,39
2000-07-27,28.3,23.5,33.1,,30
2000-07-28,28.3,25.5,31.7,,49
2000-07-29,27.5,25.2,29.7,5.6,65
2000-07-30,23.9,20.6,26.6,1.5,63
2000-07-31,25.3,20.7,30.4,0.4,41
2000-08-01,26.3,21.2,31.2,,45
2000-08-02,28.8,22.6,35.1,,26
2000-08-03,28.3,23.4,32.7,0.2,45
2000-08-04,24.6,21.5,29.4,32.7,62
2000-08-05,25.2,23.2,28.4,3.4,77
2000-08-06,24.4,23.5,25.5,7.9,80
2000-08-07,24.6,23,28.2,43.4,70
2000-08-08,26.5,22.9,31.7,0,49
2000-08-09,26.9,23.5,31.6,14.5,52
2000-08-10,27.5,23.6,32.2,,48
2000-08-11,28,24.3,32.9,,51
2000-08-12,28.6,23.6,33.1,,50
2000-08-13,28.9,24.6,33.3,,43
2000-08-14,28.1,25.2,32.2,,50
2000-08-15,28.3,24.8,32.6,,50
2000-08-16,28.3,24.6,32.3,,49
2000-08-17,28.8,25,35,0,45
2000-08-18,28.9,25.5,34.5,0,42
2000-08-19,24.6,22.1,26.9,14.2,65
2000-08-20,22.1,20.3,24.6,71.1,80
2000-08-21,22.7,19,26.2,27.2,68
2000-08-22,25.1,21.7,28.8,0,51
2000-08-23,25.4,21.1,30.2,3.3,43
2000-08-24,23.4,21.8,25.4,10.1,69
2000-08-25,22,20.6,23.5,122.9,84
2000-08-26,22.1,21,23,89.3,89
2000-08-27,25,22.5,27.1,26.1,65
2000-08-28,25.3,23.3,29,82.3,77
2000-08-29,28.1,23.1,32.5,,49
2000-08-30,29.1,24.2,33.6,,43
2000-08-31,25.4,22.6,27.5,50.8,63
2000-09-01,24.4,22.8,26,7.1,78
2000-09-02,26,23.3,30.6,,58
2000-09-03,25.1,22.5,31,9.5,53
2000-09-04,24.9,20.1,29.9,,41
2000-09-05,23.6,18.4,28.5,,43
2000-09-06,22.5,19.8,25.9,5.8,58
2000-09-07,20.7,19.2,22.8,0.1,56
2000-09-08,20.6,18,23.2,0.6,66
2000-09-09,20.2,17.1,22.8,0.3,60
2000-09-10,22.2,17.1,28,,35
2000-09-11,21.3,18.4,25.7,,40
2000-09-12,20.1,16.3,24.2,,39
2000-09-13,16.5,15,19.6,8.2,49
2000-09-14,16.7,14.8,18.1,16.7,68
2000-09-15,17,15.5,18.2,60.8,79
2000-09-16,16,14.5,18.1,68.8,78
2000-09-17,19.2,14.9,23.8,0.1,46
2000-09-18,18.6,12.9,23.6,,37
2000-09-19,19.1,11.9,25.7,,35
2000-09-20,21.4,15.6,27.5,,47
2000-09-21,21.3,18.6,25.7,,37
2000-09-22,21.7,18.5,26.1,,42
2000-09-23,21,17.5,25.9,,51
2000-09-24,20.5,17.1,24.3,,55
2000-09-25,20.2,17.3,24.8,0,36
2000-09-26,20.2,13.8,26,,35
2000-09-27,20.6,15.4,25.9,,33
2000-09-28,17.9,16.3,19.4,0.5,48
2000-09-29,20.4,13.7,26.7,,32
2000-09-30,20.1,15.8,25.3,,39
2000-10-01,20.3,15.5,25.5,,47
2000-10-02,19.4,17.6,21.8,0.4,65
2000-10-03,17.7,14.6,21.9,,32
2000-10-04,16.9,11.6,21,,34
2000-10-05,19,14.9,23.4,,53
2000-10-06,19.3,16,24.6,,40
2000-10-07,20.2,14.5,26.5,,41
2000-10-08,20.7,15.4,25.8,,41
2000-10-09,20.2,16.1,25.3,,48
2000-10-10,18.5,15.6,21,0.1,43
2000-10-11,15,12.6,16.6,2.6,64
2000-10-12,10.6,8,14.6,,34
2000-10-13,10,5.7,13.9,,30
2000-10-14,11.6,6.4,16.3,,37
2000-10-15,13.7,8.4,20.2,,32
2000-10-16,11.7,6.3,17.6,,31
2000-10-17,12.4,8.5,15.1,0.6,54
2000-10-18,14.5,9.9,19.8,,42
2000-10-19,14.2,10.1,19.2,,47
2000-10-20,15.9,11.8,20.9,,55
2000-10-21,14.7,9,20.8,,31
2000-10-22,14.2,9.8,17,,40
2000-10-23,16.7,12.7,22,0.4,43
2000-10-24,14.9,14,15.8,11.8,71
2000-10-25,14.3,9.9,17.8,2.2,39
2000-10-26,10.3,6.8,15,,23
2000-10-27,12.4,5.6,19,,36
2000-10-28,12.2,10.3,14.5,,52
2000-10-29,10.4,7.2,12.4,,37
2000-10-30,8.9,3.5,14.5,,37
2000-10-31,10.5,3.6,16.3,,37
2000-11-01,12.6,10.1,15.3,,42
2000-11-02,14,9.4,19.4,,33
2000-11-03,12.9,7.4,19.4,,35
2000-11-04,13.5,9.4,17.3,,55
2000-11-05,12.4,8.5,17.2,,22
2000-11-06,13,6.9,20.3,,32
2000-11-07,9.8,1.8,15.3,0,17
2000-11-08,2.7,0,6.4,,35
2000-11-09,4.9,-0.1,8.9,,17
2000-11-10,4.2,0.3,7.2,1.4,40
2000-11-11,1.9,-1.7,6.5,,38
2000-11-12,4.1,-0.5,8.7,0,43
2000-11-13,6.4,0.9,11.5,,39
2000-11-14,8.8,4.5,13.6,,38
2000-11-15,10.5,7.9,13.1,,32
2000-11-16,6.1,3.9,9.4,8.8,45
