일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최소 상대습도(%)
2001-01-01,-4.5,-9.5,-0.8,1.2,39
2001-01-02,-4.3,-9.1,-0.2,,37
2001-01-03,-8.3,-10.4,-5.2,,37
2001-01-04,-9.8,-12.5,-6.7,,36
2001-01-05,-6.8,-11,-2.2,0,36
2001-01-06,-2.9,-8.8,0.9,,38
2001-01-07,0.4,-0.9,1.1,21.7,40
2001-01-08,2,-0.2,4.9,,50
2001-01-09,-0.4,-6,3,8.9,67
2001-01-10,-5,-9.1,-1.5,0.3,38
2001-01-11,-8,-14.4,-2.2,0.2,37
2001-01-12,-10.7,-15,-7.6,,37
2001-01-13,-10.2,-15,-6.7,,38
2001-01-14,-15.3,-17.7,-11.3,,43
2001-01-15,-15.5,-18.6,-12.4,,40
2001-01-16,-13.4,-16.8,-10,,39
2001-01-17,-8.4,-15.1,-4,0,40
2001-01-18,-0.9,-4.4,2.5,0,60
2001-01-19,0.3,-3.3,3.8,0,52
2001-01-20,0.4,-2.1,3.5,1.2,70
2001-01-21,-1.5,-3.9,1,,59
2001-01-22,-1.4,-3.9,2.5,,54
2001-01-23,-2.8,-6.7,1.7,,51
2001-01-24,0.3,-4.3,3.9,,51
2001-01-25,3,-0.2,6.8,,52
2001-01-26,1.2,0,2.8,0,46
2001-01-27,0,-1.8,1.8,1.9,60
2001-01-28,-3,-6.9,0.5,,48
2001-01-29,-2.6,-8,1.8,0,49
2001-01-30,-0.5,-2.7,2.6,,50
2001-01-31,-0.3,-2.8,1.9,4,52
2001-02-01,-5.8,-9.1,0.6,,31
2001-02-02,-4.9,-10.4,-0.9,0.1,35
2001-02-03,0.1,-3.4,3.7,,57
2001-02-04,1.3,-1.2,5.2,,57
2001-02-05,1.5,-2.1,5.7,,58
2001-02-06,2.6,-0.7,6.3,,52
2001-02-07,-2.6,-8.1,1.7,,25
2001-02-08,-4.9,-9,-0.8,0.1,26
2001-02-09,-0.9,-4.7,4,0.5,51
2001-02-10,-1.4,-3.8,1.7,,24
2001-02-11,-3.5,-6.5,0.1,,15
2001-02-12,-4.2,-6.6,0,,24
2001-02-13,-3.9,-6.4,-0.1,,23
2001-02-14,-3.6,-6.7,-0.1,,29
2001-02-15,-3.4,-5.2,0.1,23.2,50
2001-02-16,-6.1,-8.6,-3.6,,27
2001-02-17,-2.3,-7,0.7,,55
2001-02-18,2.7,-0.6,5.6,0,49
