일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최소 상대습도(%)
2005-01-01,-4.9,-8.8,-1,,24
2005-01-02,0.4,-5,4.5,0,44
2005-01-03,2.9,-2,4.9,1.5,52
2005-01-04,-4.9,-7.4,-1.2,,23
2005-01-05,-3.8,-8.8,0.6,,23
2005-01-06,0.1,-3.5,2.4,0,37
2005-01-07,-2.9,-6,2.2,0,29
2005-01-08,-5,-8,0.8,0,23
2005-01-09,-8,-10.3,-4,,26
2005-01-10,-5.7,-10.8,-1.5,0,37
2005-01-11,-6.3,-8.5,-2.7,,33
2005-01-12,-6.1,-9.5,-2,,30
2005-01-13,-4.8,-8.3,-1.2,,34
2005-01-14,-3.1,-7.3,0.6,,34
2005-01-15,-2.6,-6.5,1.6,,38
2005-01-16,-0.8,-4.6,5.1,0.3,44
2005-01-17,0.4,-4,4.8,,32
2005-01-18,0.3,-3.4,3,0.5,63
2005-01-19,-3.8,-6,-0.2,,29
2005-01-20,-5.9,-7.8,-2.7,,33
2005-01-21,-5.4,-9.5,-0.6,,24
2005-01-22,-2.2,-7.3,2.5,,24
2005-01-23,1.8,-2.7,7,,12
2005-01-24,1.3,-1,5,,48
2005-01-25,1.1,-2.2,4.4,,42
2005-01-26,1.6,-1.2,6.1,,36
2005-01-27,1.3,-2,5.6,,22
2005-01-28,2.1,-2.5,7.3,,26
2005-01-29,-0.8,-6.1,2.7,2.2,36
2005-01-30,-7,-9.3,-3.7,,27
2005-01-31,-7.3,-11,-2.5,0,22
2005-02-01,-10.2,-13.1,-6.8,,31
2005-02-02,-6.9,-10.6,-2.5,,33
2005-02-03,-4.6,-8.6,0,,29
2005-02-04,-1.5,-5,2.4,,28
2005-02-05,-1.6,-4.9,2,,30
2005-02-06,-0.1,-5,5.5,,15
2005-02-07,3.5,-0.8,5.5,0,32
2005-02-08,1.7,-0.6,5.8,0,37
2005-02-09,-1.4,-4.5,0.8,,25
2005-02-10,-6,-8.8,-2,,18
2005-02-11,-6,-9.3,-1.6,,17
2005-02-12,-4.1,-7.5,0.1,,18
2005-02-13,-1.6,-6.6,3.5,,30
2005-02-14,1.8,-2.5,5.5,,23
2005-02-15,4.6,0.8,10,5,23
2005-02-16,2.7,0.8,5,9,68
2005-02-17,4.7,0,10.5,,39
2005-02-18,4,3,6,,46
2005-02-19,-2.4,-7.9,3.2,0.2,22
2005-02-20,-7.1,-9.5,-3.4,,27
2005-02-21,-5.8,-10.3,-1.7,0,26
2005-02-22,-1,-4.6,4.5,3,66
2005-02-23,-2.9,-5.4,-0.1,,21
2005-02-24,-2.9,-6,3.2,,16
2005-02-25,-4.8,-7.3,-1.5,,20
2005-02-26,-5,-8.6,-1,,22
2005-02-27,-2.1,-7.4,2.7,,24
2005-02-28,0.6,-2.7,5,,23
2005-03-01,-0.3,-4.5,4.5,,18
2005-03-02,0.3,-2,4.5,2.4,37
2005-03-03,-1.3,-4.4,2,,23
2005-03-04,-0.4,-4.5,4,,18
2005-03-05,-0.9,-4.1,3,,32
2005-03-06,0.5,-3.5,5.1,,20
2005-03-07,3.8,-1.1,7.9,,63
2005-03-08,4.2,1.7,8.6,,24
2005-03-09,7.3,-1.2,14.6,0,16
2005-03-10,8.4,5,13.1,0.5,73
2005-03-11,0.7,-4,5,0.5,34
2005-03-12,-3.9,-6.5,-0.8,,25
2005-03-13,-1.2,-5.1,3,,16
2005-03-14,2.6,-2.7,7.8,,23
2005-03-15,4.5,1.2,8.8,,28
2005-03-16,7.5,3.2,12.5,,31
2005-03-17,5.9,3.2,9.8,7,54
2005-03-18,3.9,1.7,8.3,,22
2005-03-19,4.3,-0.6,10.3,,19
2005-03-20,5.9,3,9.8,,41
2005-03-21,7.1,2,12,,24
2005-03-22,8.5,3.9,14.3,2,32
2005-03-23,8.7,5.3,13.6,,24
2005-03-24,3,-0.2,7.5,0.1,13
2005-03-25,3.1,-1.7,7,,27
2005-03-26,6.8,2.5,10.8,,61
2005-03-27,10.5,6,17.6,,30
2005-03-28,6.8,4.4,11.8,,26
2005-03-29,5.6,2.2,10.3,,17
2005-03-30,6.7,2.2,12.1,,20
2005-03-31,9.5,3.5,15.5,,16
2005-04-01,11.2,6.3,16.1,,16
2005-04-02,10.4,6.5,15.8,,20
2005-04-03,8.6,5.6,14.5,3.5,29
2005-04-04,9.3,4.1,14.3,,18
2005-04-05,13.3,7.3,19,,30
2005-04-06,13.8,9.6,17.7,7,45
2005-04-07,12.9,10.5,16.1,,45
2005-04-08,14.9,7.5,22.5,,15
2005-04-09,13.4,11.3,15.8,41.5,38
2005-04-10,12.4,9.1,17.1,17,41
2005-04-11,13.5,10.1,18.2,,25
2005-04-12,11.2,7.8,14.6,,43
2005-04-13,10.5,6.4,15.8,,21
2005-04-14,9.9,6.3,14.3,,24
2005-04-15,9.6,4.6,15.3,,11
2005-04-16,10.8,5.5,15.8,,9
2005-04-17,14.3,7.5,19.2,,13
2005-04-18,15.2,10.3,18.8,4.5,42
2005-04-19,17.3,12.1,22,15,31
2005-04-20,10.3,7.9,13,6,21
2005-04-21,10.2,7.4,13.3,,36
2005-04-22,11.6,7.3,16.8,,26
2005-04-23,13.4,7.5,19.6,,24
2005-04-24,14,9.3,20.2,0,25
2005-04-25,13.7,9.6,19.3,,27
2005-04-26,14.9,9.1,20.3,,23
2005-04-27,16,13,20.6,0.2,29
2005-04-28,17.5,14.5,22.8,,54
2005-04-29,19.2,13.8,25.3,,24
2005-04-30,23.5,19.2,29.8,,36
2005-05-01,21,17.2,25.6,0.3,39
2005-05-02,19.5,15,24.7,,9
