일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최소 상대습도(%)
2016-01-01,1.2,-3.3,4,,56
2016-01-02,5.7,1,9.5,,62
2016-01-03,6.5,5.1,9.4,,61
2016-01-04,2,-2.5,5.3,,28
2016-01-05,-2.7,-4.8,1.5,,22
2016-01-06,-1.7,-4.9,1.7,,42
2016-01-07,-3.4,-5.9,1.4,,25
2016-01-08,-3.3,-6.9,1,,24
2016-01-09,-2.1,-6.2,2.4,,32
2016-01-10,0.3,-2.7,3.8,,20
2016-01-11,-3.8,-6.5,0.9,,22
2016-01-12,-5.2,-9.1,0.7,,23
2016-01-13,-4.5,-8.2,0.1,0.4,31
2016-01-14,-3.4,-8.4,1.3,0,24
2016-01-15,-0.4,-4.3,5.3,,28
2016-01-16,-0.2,-2.1,2.8,0.1,53
2016-01-17,1.7,-0.7,5.4,,47
2016-01-18,-6.3,-12.3,0.4,0.2,31
2016-01-19,-12.8,-15.1,-8.9,,29
2016-01-20,-10.5,-14.5,-5.2,,30
2016-01-21,-7.1,-10.2,-2.3,,28
2016-01-22,-7.6,-11.1,-3.8,,25
2016-01-23,-11.5,-16,-8.3,0,27
2016-01-24,-14.4,-18,-10.5,,31
2016-01-25,-9.4,-14.3,-3.4,,26
2016-01-26,-3.3,-8.5,1.7,0.3,45
2016-01-27,-1.1,-4.7,4.3,,34
2016-01-28,-0.5,-5.6,3.5,,29
2016-01-29,1.9,-1.4,5.4,,27
2016-01-30,0.6,-2.5,5.2,,46
2016-01-31,-3.9,-6.5,0.3,,17
2016-02-01,-6,-9.1,-1,,20
2016-02-02,-5.3,-10,0.9,,23
2016-02-03,-2.4,-8.3,4,,29
2016-02-04,-0.7,-4,3.9,,18
2016-02-05,-2.2,-6.8,3.4,,17
2016-02-06,-3.1,-6.2,2,,25
2016-02-07,-2.9,-8.3,3.5,,20
2016-02-08,1.3,-4.3,5.5,,45
2016-02-09,0.3,-3.9,5.5,,26
2016-02-10,2.7,-4.3,10.7,,17
2016-02-11,8.1,1.6,13.5,0.1,19
2016-02-12,8.4,6.8,10,18,57
2016-02-13,11,5.8,14.4,21,80
2016-02-14,-2.6,-6.8,5.8,2.5,54
2016-02-15,-5.8,-10,-2.3,0,29
2016-02-16,-2.7,-6.7,1.1,0.8,52
2016-02-17,0,-5.2,5.4,,30
2016-02-18,3.5,-1.4,7.8,,51
2016-02-19,2.3,0.1,4.4,,28
2016-02-20,1.3,-2.5,6.3,,23
2016-02-21,-0.6,-4.2,4.4,,23
2016-02-22,1.1,-2.2,4.2,0,21
2016-02-23,0.7,-4.5,4.5,0.9,25
2016-02-24,-3,-6.8,2.2,,23
2016-02-25,-0.2,-5.8,5.7,,30
2016-02-26,2.2,-3.2,7.5,0,16
2016-02-27,3.3,0.5,8.1,0.2,26
2016-02-28,0.7,-2.6,6.9,4.1,31
2016-02-29,-3.8,-5.9,-1.1,0,33
2016-03-01,-2.7,-7.5,2.1,,27
2016-03-02,3.1,-2.2,8.1,,48
2016-03-03,8.1,4.4,13.9,,43
2016-03-04,13.2,6.4,20.3,0.1,37
2016-03-05,11.3,9.1,13.5,40,73
2016-03-06,7.9,4.3,12.9,0.2,16
2016-03-07,8.1,4.8,12.2,0,28
2016-03-08,2.7,-1.4,7,,19
2016-03-09,0.3,-2.7,5.3,,18
2016-03-10,-1.1,-4.3,3.1,,20
2016-03-11,-0.5,-5.5,4.6,,21
2016-03-12,2,-3.3,6.4,,43
2016-03-13,3.7,1.9,6.5,0.1,54
2016-03-14,4.7,1.3,9.6,,31
2016-03-15,5.2,-1,12.4,,16
2016-03-16,7.5,2.7,13.8,,19
2016-03-17,9.3,2,14.7,,18
2016-03-18,13.4,8.8,20.1,,32
2016-03-19,11.4,6.6,18.1,,33
2016-03-20,10.6,4.9,17.5,,29
2016-03-21,9.9,5.5,16.1,,30
2016-03-22,8,3.5,13.8,,20
2016-03-23,8.2,3.8,13.8,,22
2016-03-24,7.2,1.6,12.7,,20
2016-03-25,7.1,2.1,12.6,,25
2016-03-26,6.5,2.1,12.6,,25
2016-03-27,7.2,2.2,13.1,,20
2016-03-28,9.8,2.3,17.4,,18
2016-03-29,11.3,7.6,17.1,0.1,34
2016-03-30,11.5,7,18.3,,21
2016-03-31,13.5,6,21.4,,15
2016-04-01,15.3,7.3,23.8,,15
2016-04-02,15,9.6,21.7,,22
2016-04-03,10.7,8.2,12.7,2,59
2016-04-04,12.3,5.1,19.8,,14
2016-04-05,11.4,5.9,18.1,,16
2016-04-06,14.4,6.6,22.9,3,15
2016-04-07,14.1,10.5,20.6,7.5,32
2016-04-08,11.1,7.8,18.7,,41
2016-04-09,10.7,7.4,14.1,,74
2016-04-10,13.4,9.3,20.7,,46
2016-04-11,12.5,5.7,19.4,,18
2016-04-12,14.1,10.3,19.4,,26
2016-04-13,15.6,11.4,21.4,1,38
2016-04-14,12.4,9.3,18.6,,48
2016-04-15,15,8.1,23.1,,23
2016-04-16,14.9,9.8,20.7,23.5,26
2016-04-17,10.8,8.3,14.5,20.5,35
2016-04-18,11.2,7.1,18.6,1.5,25
2016-04-19,12,6.5,19.2,,26
2016-04-20,14.3,10.1,20.9,0.5,24
2016-04-21,13.5,10.3,16.9,17,61
2016-04-22,13.5,10.1,18.6,0,64
2016-04-23,13.5,7.8,19.8,,14
2016-04-24,15.5,8.1,23.7,,13
2016-04-25,17.2,10.2,25.3,,14
2016-04-26,21.1,12.1,29.6,,18
2016-04-27,17.2,14.5,20.7,,23
2016-04-28,17.2,12.4,23,,22
2016-04-29,16.2,10.9,22.6,0.3,31
2016-04-30,15.9,10.8,20.4,,33
