일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최소 상대습도(%)
2008-01-01,-6.3,-8.5,-3.2,,34
2008-01-02,-3.4,-7.4,0.8,,29
2008-01-03,0.9,-3,6.6,,29
2008-01-04,-0.3,-4,3.7,,32
2008-01-05,1.6,-2.4,6.1,,45
2008-01-06,4.1,0.6,7.3,,64
2008-01-07,2.8,0.4,6.4,,67
2008-01-08,1.8,-1.8,5.6,,18
2008-01-09,0.9,-1.3,3.7,,18
2008-01-10,0.1,-3.5,4.3,,13
2008-01-11,0.6,-1.7,2,6.7,21
2008-01-12,0.9,-4.5,4.4,,39
2008-01-13,-4.3,-8.5,-1.1,,30
2008-01-14,-2.7,-5.1,1.5,,21
2008-01-15,-4.2,-7.1,-0.4,,15
2008-01-16,-7.1,-9.5,-3,,21
2008-01-17,-7.2,-11.1,-3.9,,23
2008-01-18,-4.8,-8.6,-0.7,,18
2008-01-19,-2.2,-6.9,1.5,,18
2008-01-20,2.3,-1.6,5.3,,30
2008-01-21,1.3,-0.7,3.8,4.5,50
2008-01-22,0.7,-0.3,1.5,6.5,59
2008-01-23,-2.8,-8.3,0.8,,27
2008-01-24,-7.5,-10.9,-3.7,,27
2008-01-25,-5.9,-9.7,-1.6,,26
2008-01-26,-2.7,-7,1.8,,24
2008-01-27,-1.4,-5.8,4.4,,23
2008-01-28,-0.8,-3.2,2.3,,20
2008-01-29,-0.2,-2.9,3.5,,26
2008-01-30,-2.2,-5,0,0,31
2008-01-31,-4.2,-6.9,-0.5,,26
2008-02-01,-3.3,-7.5,1.6,,21
2008-02-02,-1.1,-5.2,3.1,,30
2008-02-03,-0.7,-2.7,2.5,,39
2008-02-04,-2.7,-5.1,1.2,,32
2008-02-05,-3.4,-7.1,0.7,,23
2008-02-06,-3.2,-6.2,1.3,,22
2008-02-07,-3.9,-7.9,0.8,,28
2008-02-08,-2.7,-7.5,1.5,0,20
2008-02-09,-1.9,-3.5,0.7,0,34
2008-02-10,-1.3,-5.3,3.4,,24
2008-02-11,-0.9,-4,4,,22
2008-02-12,-6.9,-9.7,-3.3,,16
2008-02-13,-5.8,-10.1,-1.1,,15
2008-02-14,-2.1,-7,2.7,,24
2008-02-15,-3.5,-6.2,0.2,,14
2008-02-16,-3.4,-7.4,1.2,,18
2008-02-17,-2.3,-5.5,2.2,,14
2008-02-18,-1.5,-5.8,4,,18
2008-02-19,0.5,-5.1,5.2,,29
2008-02-20,2.7,-0.5,7.6,,21
2008-02-21,4.4,-1.2,9.6,,18
2008-02-22,5.9,1.2,10.5,1,37
2008-02-23,-2.6,-4.5,1.2,,24
2008-02-24,-1.5,-7.2,4.4,,12
2008-02-25,-0.9,-3.1,2.5,6.6,32
2008-02-26,-1.1,-2.5,1.2,7.4,49
2008-02-27,1.1,-4.2,6.1,,26
2008-02-28,3.1,-2.3,8.4,,29
2008-02-29,4.6,1.7,9.8,,33
2008-03-01,3,-0.5,7.8,,18
2008-03-02,2.6,0.7,5.3,0.2,42
2008-03-03,3.2,-0.1,8,,28
2008-03-04,1.8,0.5,3.9,4,40
2008-03-05,2.8,-1.7,8,,22
2008-03-06,4.3,1.5,7.8,0.1,43
2008-03-07,4.5,0.1,9.6,,20
2008-03-08,5.3,0.4,10.8,,22
2008-03-09,5.9,3,11.8,,26
2008-03-10,6.5,3.4,11.3,,38
2008-03-11,10.9,6.8,16.3,,38
2008-03-12,12.5,8,19.2,,29
2008-03-13,9.9,7.2,12,0.4,46
2008-03-14,8.5,3.7,14.1,0,30
2008-03-15,8.3,4.5,13.5,0,11
2008-03-16,7.3,4,12,0,21
2008-03-17,9,2.5,15.1,,19
2008-03-18,12.3,6,19.1,,16
2008-03-19,11.2,7.6,17.3,,18
2008-03-20,11.6,5.2,17.9,,12
2008-03-21,13.1,7.2,19.8,,10
2008-03-22,12.3,7.8,16.9,7,11
2008-03-23,7.6,5,8.9,27.5,86
2008-03-24,6.6,3.7,11.8,1,42
2008-03-25,4.4,3,6,0.5,58
2008-03-26,6.6,3.3,10.3,,31
2008-03-27,7.1,5,9.6,0,42
2008-03-28,7.4,2.4,12.5,,26
2008-03-29,6,5,8.1,13,54
2008-03-30,7.2,5,10.3,0.2,51
2008-03-31,8.1,4.2,12.4,,34
2008-04-01,8.8,4.9,13.7,,29
2008-04-02,7.6,6.2,10.2,2.5,52
2008-04-03,8.7,4.6,13.2,,18
2008-04-04,10.1,3.8,16.5,,19
2008-04-05,12.9,7.4,19.1,,28
2008-04-06,14.8,8.6,22.6,1,14
2008-04-07,13.2,9.8,18.6,0.5,38
2008-04-08,16.4,9.3,23.9,,15
2008-04-09,13.2,9.2,16.7,11.5,19
2008-04-10,15.6,9.2,21.8,1.5,23
2008-04-11,14.2,10.8,19.3,,33
2008-04-12,13.8,9.7,18.4,0.3,36
2008-04-13,12.8,9.9,16.8,0.1,40
2008-04-14,13.5,7.7,20.2,,24
2008-04-15,15.6,9.5,22.1,,22
2008-04-16,18.1,11.2,25.7,,18
2008-04-17,18.6,13.5,24.6,,27
2008-04-18,18.5,12.4,24.8,,22
2008-04-19,20.1,13.1,28,,12
2008-04-20,20.6,15,26.1,,13
2008-04-21,19.7,17.1,23.5,,14
2008-04-22,16.5,12.8,19.5,8,22
2008-04-23,10.4,7.4,13.3,4,52
2008-04-24,9.6,4.8,14.3,,23
2008-04-25,12.8,8.6,18.7,2,29
2008-04-26,10,6.6,12.5,7,61
2008-04-27,10.4,7.7,14.6,0.1,34
2008-04-28,13.1,5.6,20,,11
2008-04-29,15.7,9.7,21.4,,44
2008-04-30,18.2,12.7,23.7,,35
2008-05-01,19.8,16.6,25,,36
2008-05-02,20.3,15.7,26.5,,34
2008-05-03,21.1,15.6,28.2,,30
2008-05-04,18.3,14.4,21.8,1,37
2008-05-05,15.8,11.1,21.1,0.1,25
2008-05-06,17.2,10.2,23.4,,10
2008-05-07,15.8,13.3,19,9.5,18
2008-05-08,18.7,13.3,25.1,0,14
2008-05-09,18.5,14.8,23.2,,23
2008-05-10,15.7,11.4,20.9,,21
2008-05-11,16,9.8,22.4,,18
2008-05-12,15.9,12.3,20.3,0,25
2008-05-13,12.3,9.7,15.7,1.5,48
2008-05-14,13.1,8.1,18,,36
2008-05-15,14.4,8.7,19.2,,28
2008-05-16,15.7,10,22.3,0,31
2008-05-17,17.6,11.3,24.4,,26
2008-05-18,13.5,11.9,16.1,30,48
2008-05-19,13,9.7,18.3,0.1,30
2008-05-20,15.1,8.6,21.1,,39
2008-05-21,16.8,12.9,20.8,4,46
2008-05-22,20.5,14.9,25.8,,43
2008-05-23,21.5,17.6,24.9,,52
2008-05-24,23,17.5,28.5,,36
2008-05-25,20.7,15.6,27,,39
2008-05-26,18.7,14.4,23.3,,46
2008-05-27,21.5,16.9,27.8,,33
2008-05-28,18.6,16.5,20.6,51.5,61
2008-05-29,22.3,17,28.5,,37
2008-05-30,18,14.7,21.3,,36
2008-05-31,17.9,12.7,22.8,,30
2008-06-01,21.6,14.7,26.6,,23
2008-06-02,18.9,15,22.5,62.5,39
2008-06-03,18.7,15.4,24.1,10,50
2008-06-04,16.9,15.1,19.4,5,59
2008-06-05,14.9,13.7,17,7.5,73
2008-06-06,16.7,14.6,19.9,,58
2008-06-07,19.1,15.7,24.3,0,47
2008-06-08,18.9,16,25.1,4.5,42
2008-06-09,21,15.6,27,,40
2008-06-10,22.7,19.1,28.1,,45
2008-06-11,24.5,19.7,29.4,,29
2008-06-12,23.3,18.7,29,10.5,38
2008-06-13,21.5,17.4,27.6,,50
2008-06-14,23.9,19.2,28.9,,43
2008-06-15,22.5,18.7,27.4,,40
2008-06-16,23,16.2,28.6,,24
2008-06-17,22.6,17.8,25.7,3,37
2008-06-18,19.1,17.4,22,46,83
2008-06-19,20.3,17.5,24.1,,64
2008-06-20,24.3,18.5,29.6,,45
2008-06-21,24.6,22,28.2,0,45
2008-06-22,22.6,17.7,27.4,6.5,47
2008-06-23,22.8,18,27.1,,30
2008-06-24,23.4,19.2,27.6,,39
2008-06-25,23.6,19.4,28.6,,38
2008-06-26,23.3,19.6,28.8,,43
2008-06-27,23.7,19.8,28.7,,43
2008-06-28,22.6,20.1,25.4,2,60
2008-06-29,22.1,18.5,27.4,7.5,45
2008-06-30,22.5,18.6,27.3,,49
2008-07-01,24.8,20.2,29.3,,45
2008-07-02,22.4,21.1,24.5,14.5,49
2008-07-03,21.9,20.5,25.1,9,63
2008-07-04,24.3,21.8,27.2,0.1,68
2008-07-05,24.5,22,28,5,63
2008-07-06,25.5,23.9,28.4,,72
2008-07-07,24.7,22.5,27.5,0.5,74
2008-07-08,27.6,23.8,32.8,,48
