일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최소 상대습도(%)
2002-01-01,-4.8,-7.5,1.3,,35
2002-01-02,-9.9,-11.4,-7.3,,32
2002-01-03,-6.5,-12,-2,,34
2002-01-04,1.5,-3.4,5.7,0,57
2002-01-05,-0.7,-3,1.9,,34
2002-01-06,0,-5.4,5.2,,29
2002-01-07,-2.5,-6.9,3.7,1.5,37
2002-01-08,-6.6,-8,-3.9,,41
2002-01-09,-3.5,-8.3,1,,30
2002-01-10,2.2,-1.1,5.7,,53
2002-01-11,3.7,0.8,8.1,,43
2002-01-12,4.9,0.5,9.6,,46
2002-01-13,7.4,4,11.1,,45
2002-01-14,10.5,6.2,13.4,1,63
2002-01-15,12.2,11,13.5,13.5,73
2002-01-16,7,3.3,12.3,8.5,66
2002-01-17,3.1,2,4.7,1.5,74
2002-01-18,2.2,-0.7,6.2,,56
2002-01-19,5.1,1.9,10,,49
2002-01-20,2.4,0.6,5.2,6.5,71
2002-01-21,-0.1,-3,1.9,4,64
2002-01-22,-4.6,-6,-2.2,0,44
2002-01-23,-4.2,-6.7,-0.6,,35
2002-01-24,-2.8,-6,1,,28
2002-01-25,-1.9,-7.2,3.3,,23
2002-01-26,1.5,-1.6,3.8,0.5,50
2002-01-27,-0.2,-3.1,2.2,,53
2002-01-28,-3,-4.9,0.1,,32
2002-01-29,-1.7,-6.2,2.9,0.4,26
2002-01-30,-0.5,-3.1,2.3,,22
2002-01-31,-1.8,-4.8,2,,22
2002-02-01,1.4,-3.9,5.6,,39
2002-02-02,4.3,2.2,8.1,,29
2002-02-03,4,-1.1,10.3,,26
2002-02-04,3.9,0,9,,24
2002-02-05,4.7,0.9,9,,22
2002-02-06,5.9,3.2,9.4,0,59
2002-02-07,4.2,0.6,9.1,,13
2002-02-08,2,-3.2,4.8,0,28
2002-02-09,-1.9,-5.1,1.3,,20
2002-02-10,-0.6,-3.2,2.8,0,26
2002-02-11,-1.7,-5,2.7,0,21
2002-02-12,-1.1,-4.7,2.9,,13
2002-02-13,0.2,-3.3,4.3,,19
2002-02-14,1.2,-3,5.8,,15
2002-02-15,1.7,-3.3,6.9,,25
2002-02-16,3.5,-0.3,6.3,,60
2002-02-17,2.7,-1.6,6.4,1.4,35
2002-02-18,-1.7,-4.8,2.5,,23
2002-02-19,-0.5,-5,4.1,,20
2002-02-20,3.1,-2.8,8.2,,47
2002-02-21,3.9,1.6,6.1,1,47
2002-02-22,5.6,3.3,9.6,,32
2002-02-23,5,2.1,10.2,,19
2002-02-24,6.3,0.4,12.6,,26
2002-02-25,5.3,2.6,8.4,,30
2002-02-26,6.4,2.9,10.8,,33
2002-02-27,7.3,4.6,10.6,,49
2002-02-28,6.1,2.9,11.3,,46
2002-03-01,6.6,1.1,13.1,,29
2002-03-02,7,4.5,11.5,,35
2002-03-03,4.8,2.3,9.4,,32
2002-03-04,4.2,-0.7,8.3,,18
2002-03-05,4,1.4,6.2,0.5,34
2002-03-06,1.8,-0.9,4.6,2.5,29
2002-03-07,1.2,-2.9,5.8,,23
2002-03-08,3.8,-0.9,8.7,,29
2002-03-09,9.2,2.4,14.9,,30
2002-03-10,9.1,6,13.3,0.5,15
2002-03-11,7.4,3.2,12.6,,30
2002-03-12,9.3,3.5,15.5,,35
2002-03-13,11.5,5.7,19.4,,10
2002-03-14,10.4,7.6,14.5,0,29
2002-03-15,8.5,6.2,12,1,44
2002-03-16,8.4,3.1,13.6,,23
2002-03-17,9.4,6.1,14,,17
2002-03-18,7.4,3.9,11.8,,27
2002-03-19,8.5,4.3,14.2,,22
2002-03-20,11.9,3.5,18.2,,37
2002-03-21,7.1,4.6,13.9,17,22
2002-03-22,6.5,3.5,9.7,,18
2002-03-23,4.7,1.7,8.7,,20
2002-03-24,5.2,0.6,9.1,,18
2002-03-25,7.3,1.8,12.1,,29
2002-03-26,9.1,5.1,12.5,,32
2002-03-27,10.5,6.1,15.8,,23
2002-03-28,11.3,6.1,17.2,,30
2002-03-29,12.3,9.3,17.4,,38
2002-03-30,8.9,6.5,11.4,10,36
2002-03-31,9.6,7.3,14.5,0,60
2002-04-01,13,6.6,19.3,,29
2002-04-02,15.5,8.5,22.6,,13
2002-04-03,15.1,10.4,20.8,,12
2002-04-04,15,8.3,21.8,,10
2002-04-05,17.7,10.6,25.2,1,8
2002-04-06,11.1,9.5,13.6,24.5,61
2002-04-07,8.9,7.9,10.9,0.1,72
2002-04-08,8.3,5.1,12.4,,18
2002-04-09,7,4.3,11.5,,26
2002-04-10,8.4,4.3,12.9,,30
2002-04-11,9.4,4.9,13.6,,25
2002-04-12,9.9,7.6,15.4,8.5,49
2002-04-13,11.6,5.3,16,,27
2002-04-14,19.2,14.4,23.5,,17
2002-04-15,19.8,17.3,23.9,0,48
2002-04-16,13.7,9.9,18.1,20.5,51
2002-04-17,9.8,7.2,12.3,,23
2002-04-18,11.3,6.2,16.3,,21
2002-04-19,12.5,6,18.4,,12
2002-04-20,14.6,6.3,21.7,,15
2002-04-21,17,9.6,23.8,,30
2002-04-22,21,12.9,27.7,,32
2002-04-23,17,13,22.2,,53
2002-04-24,10.5,7,13.4,,21
2002-04-25,10.9,4.9,16.6,,21
2002-04-26,14.3,6.7,20.6,,15
2002-04-27,16.4,11.6,22.2,,9
2002-04-28,18.6,11.2,25.3,,13
2002-04-29,14.9,12.2,19.1,70,38
2002-04-30,14.6,13.7,15.9,30.5,63
2002-05-01,18.9,11.6,25.7,,25
2002-05-02,18.3,11.6,25.3,3,12
2002-05-03,16,12.4,19.6,9,67
