일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최소 상대습도(%)
2017-01-01,2.7,-1.6,6.9,,59
2017-01-02,5,1.8,9.2,0.3,57
2017-01-03,2,-2.3,7.7,,38
2017-01-04,3.9,1,8.9,,31
2017-01-05,3.8,-0.1,7.3,,42
2017-01-06,5.4,2.5,11.4,,42
2017-01-07,4.6,0,10.5,,46
2017-01-08,6.5,4,10.9,0,45
2017-01-09,1.5,-3.1,4.3,0,41
2017-01-10,-3.7,-7.4,1.1,,25
2017-01-11,-3.8,-9.4,1.5,,24
2017-01-12,-2.2,-6.1,1,0,21
2017-01-13,-6,-8.6,-1.4,0.6,27
2017-01-14,-8.4,-10.5,-5.4,,22
2017-01-15,-6.6,-11.5,-0.9,,25
2017-01-16,-3.8,-8.9,4,,17
2017-01-17,-2,-7.1,3.4,,25
2017-01-18,-0.5,-3,2.8,0,53
2017-01-19,-1.2,-4.9,4.7,,33
2017-01-20,-4.4,-7.8,-1.4,4,47
2017-01-21,-5.2,-10,-0.9,2.1,48
2017-01-22,-8.3,-10.9,-3.3,0,38
2017-01-23,-8.9,-12.6,-4.1,,33
2017-01-24,-7,-11.6,-1.3,,28
2017-01-25,-5.2,-10.2,0.9,,28
2017-01-26,-1.3,-7.9,3.4,0.3,44
2017-01-27,-2.6,-5.7,3.1,3,28
2017-01-28,-1.6,-8.2,4.3,,17
2017-01-29,0.8,-0.9,2.5,4.5,33
2017-01-30,-4.8,-7.9,-0.9,0.1,44
2017-01-31,-5.4,-9.9,0.2,,26
2017-02-01,-4,-7.5,0.7,,27
2017-02-02,-2.7,-9.2,3.3,,22
2017-02-03,1.5,-2.3,6.7,,39
2017-02-04,0.9,-2.9,3.2,,56
2017-02-05,1.2,-1.5,2.3,0.5,59
2017-02-06,-1.7,-4.4,2.6,,33
2017-02-07,-2,-5.6,3,,29
2017-02-08,-2.2,-4.9,0.6,,31
2017-02-09,-5.3,-7.1,-2.1,,30
2017-02-10,-6.6,-9.3,-2.5,,29
2017-02-11,-4.8,-9.2,0.8,,31
2017-02-12,-2.2,-7.4,4.2,,30
2017-02-13,0.1,-5.4,6.1,,31
2017-02-14,0.3,-4,6.5,,22
2017-02-15,1.8,-3.9,8,,28
2017-02-16,5.5,-1.9,10.3,0,38
2017-02-17,0.8,-5.2,9,4,27
2017-02-18,-2.6,-7,2.9,,21
2017-02-19,2.3,-3.4,5.7,1,32
2017-02-20,-1.5,-5.2,5.4,0.5,34
2017-02-21,-0.6,-7.6,6.9,,22
2017-02-22,1.7,-0.9,2.9,5.1,30
2017-02-23,-1.5,-4.2,2.1,,33
2017-02-24,-0.8,-5.8,4.4,,22
2017-02-25,2.6,-2.8,8.4,,32
2017-02-26,3.6,-1.5,10.1,,19
2017-02-27,3.7,-1.8,10.7,,18
2017-02-28,5.6,-1.3,12.3,,23
2017-03-01,5,2,11.4,5,27
2017-03-02,1.8,-1.1,6.6,0.5,34
2017-03-03,3.3,-3.1,10.4,,35
2017-03-04,5.7,0.1,12.7,,31
2017-03-05,5.2,1.2,10.4,0.5,44
2017-03-06,0.1,-2.8,4,,20
2017-03-07,-1.3,-4,2.9,0,23
2017-03-08,-0.1,-5.3,5,0,28
2017-03-09,3.2,-2.7,10.7,,26
2017-03-10,4.8,-1.2,12.2,,18
2017-03-11,7.3,-0.2,16.7,,17
2017-03-12,8.2,4.4,14,0,31
2017-03-13,6.9,1.5,12.2,,28
2017-03-14,5.8,1,10.9,,20
2017-03-15,6.3,0.4,13.3,,16
2017-03-16,6.2,1,13.4,,20
